NCOA3	activation	SP1
NCOA3	activation	SRC
PRKACA	inhibition	ARAF
PRKACA	effect	ARAF
PRKACA	inhibition	RAF1
PRKACA	effect	RAF1
PRKACA	inhibition	BRAF
PRKACA	effect	BRAF
PRKACA	inhibition	ESR1
PRKACA	effect	ESR1
PRKACA	inhibition	ESR2
PRKACA	effect	ESR2
PRKACA	inhibition	CARM1
PRKACA	effect	CARM1
PRKACA	inhibition	MED1
PRKACA	effect	MED1
PRKACA	inhibition	NCOA3
PRKACA	effect	NCOA3
PRKACA	activation	FOS
PRKACA	activation	JUN
PRKACA	activation	SP1
PRKACA	activation	RPS6KB1
PRKACA	activation	RPS6KB2
PRKACB	activation	ARAF
PRKACB	activation	RAF1
PRKACB	activation	BRAF
PRKACB	activation	ESR1
PRKACB	activation	ESR2
PRKACB	activation	CARM1
PRKACB	activation	MED1
PRKACB	activation	NCOA3
PRKACB	activation	FOS
PRKACB	activation	JUN
PRKACB	activation	SP1
PRKACB	activation	RPS6KB1
PRKACB	activation	RPS6KB2
MAPK1	activation	JUN
MAPK1	activation	FOS
MAPK3	activation	JUN
MAPK3	activation	FOS
MAPK3	effect	FOS
SHC2	effect	GRB2
SHC4	effect	GRB2
SHC3	effect	GRB2
GRB2	effect	SOS1
GRB2	effect	SOS2
SOS1	effect	HRAS
SOS1	effect	KRAS
SOS1	effect	NRAS
SOS2	effect	HRAS
SOS2	effect	KRAS
SOS2	effect	NRAS
GNAS	activation	SRC
GNAS	effect	SRC
GNAS	activation	ADCY1
GNAS	activation	ADCY2
GNAS	activation	ADCY3
GNAS	activation	ADCY5
GNAS	activation	ADCY6
GNAS	activation	ADCY7
GNAS	activation	ADCY9
PIK3CA	activation	AKT3
PIK3CA	activation	AKT1
PIK3CA	activation	AKT2
PIK3CB	activation	AKT3
PIK3CB	activation	AKT1
PIK3CB	activation	AKT2
PIK3R1	activation	AKT3
PIK3R1	activation	AKT1
PIK3R1	activation	AKT2
AKT3	inhibition	MTOR
AKT1	inhibition	MTOR
AKT2	inhibition	MTOR
MAPK14	activation	ESR1
MAPK14	activation	ESR2
MAPK14	activation	CARM1
MAPK14	activation	MED1
MAPK14	activation	NCOA3
MAPK14	activation	FOS
MAPK14	activation	JUN
MAPK14	activation	SP1
MAPK11	activation	ESR1
MAPK11	activation	ESR2
MAPK11	activation	CARM1
MAPK11	activation	MED1
MAPK11	activation	NCOA3
MAPK11	activation	FOS
MAPK11	activation	JUN
MAPK11	activation	SP1
MAPK12	inhibition	ESR1
MAPK12	inhibition	ESR2
MAPK12	activation	CARM1
MAPK12	activation	MED1
MAPK12	activation	NCOA3
MAPK12	activation	FOS
MAPK12	inhibition	JUN
MAPK12	inhibition	SP1
MAPK8	inhibition	ESR1
MAPK8	inhibition	ESR2
MAPK8	activation	CARM1
MAPK8	effect	CARM1
MAPK8	activation	MED1
MAPK8	effect	MED1
MAPK8	activation	NCOA3
MAPK8	effect	NCOA3
MAPK8	activation	FOS
MAPK8	effect	FOS
MAPK8	activation	JUN
MAPK8	effect	JUN
MAPK8	activation	SP1
MAPK8	effect	SP1
MAPK9	activation	ESR1
MAPK9	effect	ESR1
MAPK9	activation	ESR2
MAPK9	effect	ESR2
MAPK9	activation	CARM1
MAPK9	effect	CARM1
MAPK9	activation	MED1
MAPK9	effect	MED1
MAPK9	activation	NCOA3
MAPK9	effect	NCOA3
MAPK9	activation	FOS
MAPK9	effect	FOS
MAPK9	activation	JUN
MAPK9	effect	JUN
MAPK9	activation	SP1
MAPK9	effect	SP1
MAPK10	activation	ESR1
MAPK10	effect	ESR1
MAPK10	activation	ESR2
MAPK10	effect	ESR2
MAPK10	activation	CARM1
MAPK10	effect	CARM1
MAPK10	activation	MED1
MAPK10	effect	MED1
MAPK10	activation	NCOA3
MAPK10	effect	NCOA3
MAPK10	activation	FOS
MAPK10	effect	FOS
MAPK10	activation	JUN
MAPK10	effect	JUN
MAPK10	activation	SP1
MAPK10	effect	SP1
JAG1	activation	NOTCH1
JAG1	effect	NOTCH1
JAG1	activation	NOTCH2
JAG1	effect	NOTCH2
JAG1	activation	NOTCH3
JAG1	effect	NOTCH3
JAG2	activation	NOTCH1
JAG2	effect	NOTCH1
JAG2	activation	NOTCH2
JAG2	effect	NOTCH2
JAG2	activation	NOTCH3
JAG2	effect	NOTCH3
MDM2	activation	TP53
MDM2	effect	TP53
TP53	activation	CDKN2C
TP53	effect	CDKN2C
TP53	activation	CDKN1A
TP53	effect	CDKN1A
TP53	activation	CDKN1B
TP53	effect	CDKN1B
CDKN2C	activation	CDK4
CDKN2C	effect	CDK4
CDKN1A	activation	CDK4
CDKN1A	effect	CDK4
CDKN1B	activation	CDK4
CDKN1B	effect	CDK4
CDK4	activation	RB1
CDK4	effect	RB1
RB1	activation	E2F3
RB1	effect	E2F3
MTOR	effect	RPS6KB1
MTOR	effect	RPS6KB2
RPS6KB1	activation	CARM1
RPS6KB1	effect	CARM1
RPS6KB1	activation	MED1
RPS6KB1	effect	MED1
RPS6KB1	activation	NCOA3
RPS6KB1	effect	NCOA3
RPS6KB1	activation	ESR1
RPS6KB1	effect	ESR1
RPS6KB1	activation	ESR2
RPS6KB1	effect	ESR2
RPS6KB1	activation	FOS
RPS6KB1	effect	FOS
RPS6KB1	activation	JUN
RPS6KB1	effect	JUN
RPS6KB1	activation	SP1
RPS6KB1	effect	SP1
RPS6KB2	activation	CARM1
RPS6KB2	effect	CARM1
RPS6KB2	activation	MED1
RPS6KB2	effect	MED1
RPS6KB2	activation	NCOA3
RPS6KB2	effect	NCOA3
RPS6KB2	activation	ESR1
RPS6KB2	effect	ESR1
RPS6KB2	activation	ESR2
RPS6KB2	effect	ESR2
RPS6KB2	activation	FOS
RPS6KB2	effect	FOS
RPS6KB2	activation	JUN
RPS6KB2	effect	JUN
RPS6KB2	activation	SP1
RPS6KB2	effect	SP1
IGF1R	activation	PIK3CA
IGF1R	effect	PIK3CA
IGF1R	activation	PIK3CB
IGF1R	effect	PIK3CB
IGF1R	activation	PIK3CD
IGF1R	effect	PIK3CD
IGF1R	activation	PIK3R1
IGF1R	effect	PIK3R1
IGF1R	activation	PIK3R3
IGF1R	effect	PIK3R3
ERBB2	effect	SHC2
ERBB2	effect	SHC4
ERBB2	activation	SHC3
ERBB2	effect	SHC3
ERBB2	activation	PIK3CA
ERBB2	effect	PIK3CA
ERBB2	activation	PIK3CB
ERBB2	effect	PIK3CB
ERBB2	activation	PIK3CD
ERBB2	effect	PIK3CD
ERBB2	activation	PIK3R1
ERBB2	effect	PIK3R1
ERBB2	activation	PIK3R3
ERBB2	effect	PIK3R3
BCL2	activation	BAD
BCL2	effect	BAD
PTK2	activation	SRC
PTK2	effect	SRC
PTK2	activation	PIK3CA
PTK2	effect	PIK3CA
PTK2	activation	PIK3CB
PTK2	effect	PIK3CB
PTK2	activation	PIK3CD
