,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
Activation,-0.042239558,-0.027360523,0.067999415,-0.016922822,-0.008279663,-0.019742051,-0.063086,-0.0032244516,0.030942632,0.09369905,0.01648086,0.0187586,0.061140265,0.00050528796,0.066688485,-0.021656405,-0.02239564,0.05994665,0.07534864,-0.0052791084,-0.0082790535,0.11634468,0.0037984739,-0.03462434,0.08565073,0.030476442,0.018972298,-0.0056354417,-0.012846455,0.048564766,0.059784424,-0.0049759788,-0.012178268,0.093987934,0.0047275075,0.06756585,-0.0008353637,0.0056536547,-0.008049811,0.034032352,0.048442785,-0.022131141,0.020783996,-0.009439448,0.094422676,0.11515662,0.007838473,-0.0038133124,-0.014207365,0.09176313,0.04307138,0.0019812004,0.0075502563,0.042612467,0.057934377,0.0791115,0.028402518,0.01595866,0.1363472,0.03743682,0.057496794,0.06899389,-0.019790277,0.010128507,0.06954633,0.020850958,-0.03914952,0.055529457,0.0004466115,0.023611728,0.07939206,0.050173014,0.03949517,0.0062422687,0.07005341,0.025906427,0.023596987,0.05101328,0.058526937,0.012385832,0.04336582,0.030917173,0.015759895,-0.0009015092,0.072741985,0.022797897,0.035992317,0.033820108,-0.026338588,-0.015566023,0.005363674,0.020350289,0.037322287,0.057648137,0.017545138,0.08207409,0.06937287,-0.032495044,0.060783066,0.088723555,-0.0047925087,0.057918612,0.033141553,0.082803994,0.01037627,0.0077343313,0.07961386,-0.023307484,0.06277506,0.0072229323,0.009768882,0.0927455,-0.012368801,0.09548952,0.04448341,0.028098822,0.06993446,0.028742505,0.10081812,-0.013136144,0.096070826,0.07303995,-0.027061017,-0.0063893646,0.0116340555,-0.0045111342,0.045336705,0.028835064,-0.011368866,-0.04615675,0.045780767,-0.034552332,0.016020043,-0.023068748,-0.027449023,-0.042240247,0.04021676,-0.026334705,0.027310967,0.044814203,-0.0052595194,-0.06625951,0.00033665297,0.035061583,-0.042803224,-0.029143807,-0.023064049,-0.011026547,-0.025649682,-0.055593703,-0.0065452647,0.017080063,0.015827259,0.012425674,0.052458353,0.03300881,-0.0057577286,0.045281623,-0.04967978,0.01644754,0.0036574188,-0.005247036,0.04800765,-0.007953911,-0.014062328,0.005561509,0.033456646,0.047383584,0.0307247,0.012280207,-0.03095339,0.051760525,-0.038834304,0.046992388,-0.036879797,-0.0066091656,-0.02019833,-0.006466817,-0.052080948,0.047033146,-0.06934699,-0.069415696,0.02181599,-0.027962836,0.051327728,0.029961284,0.05452909,0.020322662,-0.040577006,0.01519472,-0.018131763,-0.035812434,0.019582821,0.04632814,-0.028508872,0.01564987,0.0012275256,0.052774534,0.0205754,-0.013387935,-0.06551841,0.00060117996,-0.007828415,-0.038215593,0.010223742,0.012424649,0.022409705,0.00094109465,-0.0025949746,-0.03464063,-0.055313837,0.047343228,0.034710534,0.03854124,0.028683634,0.016431842,0.09478987,-0.011640047,-0.0027818535,0.01395144,-0.03707729,0.046369944,0.04021918,0.014212785,0.0010602078,0.022936525,0.014063086,-0.05181335,0.047583293,-0.066423886,0.048852023,-0.0037232882,-0.054195106,-0.0012574148,-0.035667308,-0.021938529,0.018111883,-0.022535682,-0.022580028,-0.023031268,-0.021081585,-0.057784732,-0.052250654,0.037268836,-0.0044860453,-0.021551078,0.0012507915,-0.05565149,0.028468514,-0.01903515,-0.021612443,0.08366279,-0.033725493,-0.033825893,-0.010597785,-0.062333826
Repression,-0.025307428,-0.0071461136,0.047368903,0.04279481,0.020454593,-0.011521531,0.031729467,0.062762626,-0.01962564,0.043045256,0.04455244,0.012920201,0.023683501,0.009834233,0.053875472,0.03077155,0.007442125,0.04805512,-0.0054516285,0.016134419,0.010043964,0.09947583,-0.010030777,0.053812187,0.09598759,0.021752274,-0.043282174,0.028268801,0.06374761,0.049688973,-0.026227739,-0.025170892,-0.009468698,0.021924123,-0.02025926,-0.0012384125,0.015728502,-0.03743681,0.06647208,0.04947964,-0.022667428,0.029911269,-0.023842508,0.034012962,0.05896023,0.082026556,-0.00026049567,0.045325305,0.064298965,-0.041244123,-0.057930224,-0.000323433,0.084875934,0.014349784,-0.04147634,0.01347448,0.108802974,-0.035308156,0.022114385,0.03398277,0.05354405,-0.036827017,0.07494325,0.07368363,0.044189215,0.01765827,-0.019250166,0.019664273,0.008692129,0.024384893,-0.016352976,-0.029012937,0.05176774,-0.0018331477,-0.02001535,-0.040632155,0.0068737944,-0.017886845,0.04255624,-0.03673539,0.07648568,0.006210988,-0.016357586,-0.008472611,0.05287921,0.056118235,0.017458826,0.005928074,0.08932084,0.04654929,0.07321964,0.055856902,-0.025847211,0.0230585,-0.01835981,0.053168077,0.03749974,-0.031395976,0.0041290964,0.05248995,-0.021755017,0.018860022,-0.027352422,0.03933688,-0.0059069283,-0.04166345,0.027505314,0.002529302,0.040544335,-0.0047798343,0.025380181,0.039251942,0.028620206,0.038267862,0.014067849,0.023275318,0.012099063,0.015177645,0.11729999,0.058379393,0.029999152,0.07308191,0.024470862,0.0528313,-0.0027990572,-0.008612963,-0.03715491,-0.03369845,-0.024033638,0.018750252,0.07101426,0.03717576,0.069487,-0.02843051,0.02900066,0.011544141,0.026040735,0.0028472715,-0.013173944,0.05275476,0.029174285,0.008782179,-0.009385078,0.035281405,-0.03402237,-0.037132777,-0.017059566,0.06271629,-0.0024081392,-0.038619246,0.0364869,-0.021487536,0.04909878,-0.025495164,0.012707192,0.05340267,-0.0109007405,0.0018796143,0.07234918,-0.011221579,0.028930627,0.011941852,0.09932184,0.038495902,-0.038548987,0.040241823,-0.0066337846,0.04903568,-0.048525482,0.019714192,-0.045832675,0.022019513,-0.032382183,0.0014160962,-0.011527754,-0.025365364,-0.07191384,-0.013603735,0.010928374,0.02007917,0.051030442,0.009165222,0.058598638,-0.033523887,-0.05606045,-0.064357914,0.09559366,-0.016194548,0.06292957,0.015031199,-0.02321738,-0.01200576,0.045200307,0.057309344,-0.011774016,-0.019252308,-0.001870514,-0.04302763,0.010314705,-0.009405225,-0.04296291,-0.035725877,0.005984467,0.004942141,0.05348111,-0.01303756,0.015553324,0.026552368,-0.0131033305,0.002936955,0.034595434,-0.06772439,0.08214367,0.00834289,-0.09615816,0.035785854,-0.03813139,0.022093924,-0.039855618,-0.028084552,0.01689136,-0.0273303,0.055506464,0.039029766,0.004044727,-0.033009674,-0.004420127,0.012785287,-0.01117924,-0.07829285,0.018266581,0.0034026871,-0.03091867,-0.004579161,-0.085040554,0.06949444,-0.0460182,-0.022402037,-0.01725583,0.026179567,-0.026498575,0.022701932,-0.077674404,0.053228907,0.04326063,-0.0052366406,0.037179705,-0.017526953,-0.041066967,-0.0011235889,0.016510887,0.037977494,0.04625853,0.052321605,-0.011161557,0.0178197
Unknown,-0.02805567,0.019280966,0.06582874,0.049533922,0.06952962,0.049143534,-0.036126748,0.011693733,-0.04397794,0.030662443,0.0025166238,-0.036024343,0.052416462,0.08971386,0.072860934,0.04269039,-0.0016138416,0.018011948,-0.03607107,0.011759952,-0.021695463,0.12117648,0.0060244566,0.015935158,0.029918771,0.005130427,-0.02099846,0.011487557,-0.02915203,-0.027427902,0.03138289,-0.020386785,0.047518235,0.050313085,0.00068567845,-0.067538776,-0.000334199,0.009335764,-0.034060106,-0.0145369535,-0.041903492,-0.050887294,0.034820348,-0.0013022425,0.027586395,0.0999889,-0.03493246,0.06289274,0.04178438,0.05634426,0.011084572,0.005025119,-0.014473891,0.03966081,0.06694082,0.011652687,-0.023676787,-0.034559656,-0.019175563,-0.03233312,0.00085824623,-0.040421557,0.08946354,0.0031467166,0.07150393,-0.0705631,0.038656462,-0.030490631,0.08595411,0.03836667,0.058194283,-0.050071012,-0.009823873,-0.009955735,-0.0151898125,-0.013568237,-0.04009644,0.006290707,-0.04888453,-0.048263337,0.0662713,0.05402828,0.050986603,-0.038865827,0.02286466,-0.022333143,-0.05417955,-0.058824465,0.05738808,0.04449882,0.053424876,0.045852367,0.0072572883,0.011781034,0.0058011278,0.0028410086,0.074079625,-0.037999693,0.0019525072,0.081433296,0.04646401,0.07284678,-0.017197914,0.025068449,0.019764805,0.032281563,0.01787902,-0.02148817,0.042612858,0.04008476,-0.039590377,0.077018864,0.027109735,0.15002105,0.018698959,0.037282072,-0.028763616,0.036630895,0.15668924,-0.027426735,0.05392934,0.086891316,0.006832527,-0.009939892,-0.0019473268,-0.014523734,0.0039414354,0.041641347,0.072936095,0.012019949,0.032295536,-0.036060613,0.055247337,-0.03750914,0.035719555,0.004530847,0.011589797,-0.02705566,-0.023323953,-0.023482906,-0.008745934,0.031717192,-0.0130844135,0.042320225,-0.0011940548,0.029843792,-0.01362698,0.029710652,0.0175664,-0.06091804,0.0025802536,0.043648366,-0.06744394,-0.03854056,-0.004605438,-0.050061233,0.045451663,0.012113136,0.030267894,0.011385356,-0.039365426,0.032859042,0.06783045,0.06071585,-0.025933355,0.06470914,-0.046046663,-0.058421005,0.0132536,0.043033574,0.021955792,-0.0011696698,-0.06637683,0.045281585,-0.035831377,-0.0711572,-0.036518246,-0.07103628,0.025720626,0.008274966,0.03395456,-0.056010146,-0.04804727,-0.03906855,-0.008869301,-0.043316446,0.020963902,-0.041307926,-0.0058932896,0.010214702,0.04831038,0.0023259462,-0.051674344,0.018192632,-0.00859182,0.03240647,-0.032287154,0.013819463,0.00078306126,0.057050437,-0.08440178,0.082149364,0.054049004,0.013890435,0.038883243,0.050599292,0.008187127,-0.003077448,-0.010513992,0.06135645,-0.03930262,-0.027304908,0.0047704694,0.024356272,0.003353092,-0.038564704,-0.016370025,-0.048472025,-0.03555357,0.04874607,-0.008349586,0.027566068,-0.028074866,-0.03352524,-0.022992173,0.05157287,0.025190614,-0.06969958,-0.020816863,-0.09424356,0.038130194,0.054968305,-0.06879795,0.012272195,0.013629003,-0.009108147,0.023094162,0.040316466,0.0107115805,-0.02661917,0.06881489,-0.0006676102,-0.017161926,0.010522984,0.00025667995,-0.039857745,0.034171905,0.04654598,-0.0050751385,0.0074488176,-0.011587129,0.032948695,0.027673516,-0.0195693,0.015002875,0.04263636
activation,-0.10620153,-0.013175443,0.24501161,0.18660772,0.049775284,0.000734305,-0.06483356,0.06274112,0.009773597,0.065699324,0.046841964,0.027244793,0.019552018,0.103201196,0.017050607,0.01617294,0.03833501,0.07822633,0.04753032,0.061962415,-0.022531385,0.03752271,0.07114359,0.038997214,0.12331789,0.04097544,-0.09509248,0.059440468,-0.0492993,0.09629154,0.03582714,0.061859004,0.05691883,0.10062964,0.040143766,0.052520916,0.061946243,0.023725064,-0.008705381,0.0536871,0.063105054,-0.023066523,-0.008234183,0.109409384,0.04100552,0.12799878,0.016942404,0.08491535,0.042294957,0.1750044,-0.03812149,0.035541657,0.21547276,0.12528391,-0.011630264,0.07149611,0.07362736,-0.036798093,0.19218707,-0.012611544,-0.028794378,0.09844103,-0.07260985,0.05320366,0.048320092,-0.035703,-0.035998885,0.083710685,0.06636502,0.0015826324,-0.017331645,-0.041934006,0.08220985,0.081459165,0.013327976,0.098880015,0.075315386,0.042966787,0.15332733,0.010999513,0.1998378,-0.0072954195,0.025090119,-0.044413783,-0.032419957,-0.027877541,0.120005704,-0.021959564,0.09131546,-0.026127458,0.009358981,0.08949297,0.041934207,0.05400943,0.06356147,0.070003934,0.05052308,-0.022385204,0.18266767,0.29505235,-0.0031477285,0.05823441,0.09728145,0.22261247,0.15372565,-0.04217229,0.17445815,-0.056070384,0.12213484,-0.06619468,-0.0034213653,-0.0071468446,0.072457924,0.3043594,0.09093162,0.08532602,0.054077283,-0.016894408,0.17635077,-0.018324431,0.07321395,-0.00045288395,-0.033885017,-0.020173332,0.0028773167,0.03842282,0.06193622,0.006059249,0.028586756,-0.024977313,-0.05083585,0.120682985,0.018222393,-0.05102261,-0.026818937,0.09039718,-0.05297187,-0.0047435323,0.04914128,-0.029043844,0.0035441942,0.024781514,0.094207324,0.019828908,-0.047843803,-0.017606772,0.026392065,-0.028733773,-0.0050508594,-0.062357113,-0.01294602,0.039322212,0.025611203,-0.028105821,-0.009448375,-0.047549047,0.030327978,-0.051480483,0.0017906063,-0.024475405,-0.042325728,-0.017732551,0.032672208,0.047222108,-0.051841497,-0.059400655,0.007638503,-0.045689397,0.0238171,0.023722392,0.004790788,0.08365779,-0.025267879,-0.03089302,0.033654474,0.04224742,0.008018676,-0.025472362,0.025655575,-0.029002124,-0.01812526,0.058776733,0.019332938,0.039559122,0.032167375,-0.005007011,0.010222372,-0.045996904,0.02151626,-0.08280355,0.04577343,0.038016595,0.042112716,-0.03396024,0.051324308,-0.012784848,-0.010779439,-0.04862815,0.007758378,0.06944911,0.009941042,0.022663506,-0.008795889,0.031410333,0.039302666,0.010798219,0.0066851936,-0.016723033,0.056133658,-0.00462419,-0.026554503,0.040226266,0.05863457,-0.0032719355,0.008406518,0.0155658275,0.017714854,-0.045992415,-0.009259884,0.036019083,0.008220186,-0.06865088,0.014664261,0.04828921,0.061080236,0.0031868354,0.012106238,-0.0023150516,0.031094,-0.01870558,0.034097616,0.02696314,0.020177422,-0.026597649,0.054611575,0.045113202,-0.041096486,0.030196501,-0.025466211,0.024284476,0.036810525,-0.026591942,0.0019609472,0.03397627,0.034790635,-0.012553833,-0.04924305,-0.020181734,-0.012481441,0.042080257,-0.04481083,-0.06832823,-0.05877401,-0.057527717,0.04353693,-0.026628796
effect,-0.11522109,0.003326589,0.21386912,0.21583304,0.014410082,-0.009717213,0.013378669,0.042709034,0.013135672,0.06358252,0.026032727,0.047158472,-0.020638688,0.075399265,0.074850924,0.023831282,0.013081532,0.10365647,0.035908137,0.02322764,0.02417643,0.030604072,0.012898166,-0.032346822,0.038689744,0.051547658,-0.029826261,0.023696788,-0.06457545,0.11279677,0.032555394,0.049080662,0.09331807,0.09112289,0.00839114,0.057450082,0.027060721,0.03058649,-0.012515302,-0.04258447,-0.004313563,0.025628168,0.020139908,0.1057812,-0.0041607413,0.15228891,0.016527858,0.12297459,-7.5515076e-05,0.07500527,-0.039541546,0.033566788,0.10920388,0.09527501,-0.05483843,-0.0041799867,0.05938217,0.0062323343,0.19500291,-0.028885663,-0.032961216,0.049907424,0.005122584,0.04936837,0.07813142,0.03753533,-0.05155508,0.036355007,0.10979999,-0.031600516,0.07983773,-0.02990702,0.011502127,0.13119343,0.07283844,0.026297472,0.029665025,-0.029390221,0.17961368,-0.030249707,0.20158294,0.039826393,0.06935688,-0.012946679,0.06749582,0.03229754,-0.010588697,-0.0079971505,0.07227716,0.003733277,0.048196796,0.07719615,0.04873573,0.10078939,-0.008869559,0.010183001,0.057468712,0.005432362,0.10231262,0.19781367,0.032648098,0.039220963,0.100205906,0.10877105,0.099395946,0.054112345,0.02909644,-0.058987945,0.11844755,-0.08360219,-0.0010097962,0.020188866,0.045235172,0.27513614,-0.021047255,0.08778199,0.07962105,-0.03231468,0.08531566,0.03500237,0.025081115,0.039935537,0.03549803,0.048355293,0.021183405,-0.012241067,0.071464695,-0.03977748,-0.07225194,0.039447237,-0.021761172,0.07800673,-0.0011432221,-0.05695811,0.03128148,0.046900272,-0.021997323,0.059536163,-0.035397068,-0.028644515,0.04561475,0.055691417,-0.0139626805,-0.012068241,0.013246353,-0.03877857,-0.035751164,-0.040914766,0.053904522,-0.037136897,0.0058598598,0.00048606447,0.0073910276,0.015711565,0.031688146,0.029651375,-0.015627695,0.064827055,0.048020978,-0.012762792,0.0401679,-0.017229324,-0.008836912,-0.03793339,0.029262181,-0.019071499,0.039481156,-0.032618005,-0.004071777,0.0055474252,-0.030514356,0.021255402,-0.049644593,-0.054222282,-0.04991305,0.049149223,-0.057217985,0.0180446,-0.0171992,0.06886609,-0.06972102,0.03380816,0.03258589,0.026200043,0.064103484,-0.07159566,0.100627206,-0.039949466,-0.019179061,0.023111586,-0.013378692,0.049118817,0.025158383,-0.00652704,0.044681214,-0.012226897,0.045802217,-0.043704223,-0.021442303,0.00812427,-0.057069696,-0.039673828,0.04102776,-0.016867805,-0.032138202,0.0047138142,-0.025544185,-0.00092607597,-0.025429094,0.04606045,0.021308357,0.009595396,-0.015992774,0.06035606,-0.055496056,-0.038693752,-0.054858882,0.00033501472,-0.07094005,-0.03117635,0.06842766,-0.03894076,-0.053249616,0.010182602,0.026039394,-0.051836647,0.07963485,-0.085936695,-0.04451044,-0.06260145,0.03548369,-0.020896995,-0.06623759,0.014483615,0.004708374,0.044136006,0.009164442,0.05490592,-0.007202368,0.040254854,-0.0035201435,-0.048764497,-0.019652734,0.025360717,0.03020239,0.005675529,-0.06279541,0.006696385,-0.059209593,0.01264195,-0.026736705,-0.003689864,-0.017385948,0.04895288,0.04445834,-0.049981274
inhibition,-0.023777848,0.0226386,0.21815182,0.32560983,0.027234785,0.03761131,0.007288412,0.04997547,-0.013274465,0.101347744,0.022985011,0.02025454,0.033143554,0.0965246,0.08289611,0.05908354,0.05472185,0.06204108,0.02397359,-0.008184797,-0.034958493,0.048657577,-0.0096497685,0.021868743,0.07579644,0.02365604,-0.09077746,0.088043645,-0.002465814,-0.016100015,0.028922599,0.016725902,0.0949948,0.05584362,0.069274776,0.05450559,0.06559448,0.050370816,0.0759462,0.029795393,-0.043625627,0.059233557,-0.008309371,0.061582282,0.0714284,0.1296225,0.006574885,0.059564915,0.013867586,0.05012856,-0.04992098,-0.013211684,0.066953406,0.09605119,0.0035958078,0.07548751,0.05867136,0.0068615,0.16793613,-0.012415298,-0.0016215784,0.032095812,-0.033963248,-0.006883389,-0.012556325,0.0096689435,-0.041136414,0.041191548,0.0941913,0.025016101,-0.009367802,-0.0033384927,0.018011982,0.09024923,0.018663198,0.010502224,-0.008115247,-0.005420164,0.120698616,0.0015014231,0.21317433,0.02747957,-0.018014118,-0.06818155,-0.01771741,0.023405934,0.07362461,0.038412455,0.05094705,0.0619259,0.021039044,0.046809718,-0.018029694,0.07974955,0.028515235,-0.0011452734,-0.0010084168,0.024911383,0.07632117,0.24468896,-0.029553134,0.008690963,0.047595892,0.007464602,0.06334655,0.029727587,0.08305353,-0.028709935,0.10567847,-0.056835636,0.059415035,0.041894168,0.012704975,0.21837205,0.034639217,0.015786137,-0.0064517143,0.042936046,0.092684455,-0.053279195,0.09115341,0.03881237,0.010438108,0.023678342,-0.028876297,-0.035125934,0.04967827,0.045836497,-0.034073204,-3.4170935e-05,-0.048443835,0.010935531,-0.0011933299,0.0037053744,-0.075249285,-0.029327583,0.017706526,0.011666609,0.042157833,0.037768397,-0.0020928094,0.034940958,0.0048915013,0.006104892,-0.07376166,0.05068131,0.017679973,0.043765895,-0.02508036,0.045416225,-0.067995526,-0.024025947,0.05295414,0.003789398,-0.045446187,-0.017865224,-0.011474251,0.033062894,0.00061380793,-0.0090191895,-0.00083119725,0.013275668,0.10688719,0.04286293,-0.06565139,-0.042688623,-0.035993688,0.03530723,-0.037163075,-0.032551333,-0.029229455,-0.08404611,-0.009272047,0.019525647,0.0068047694,0.0096241,-0.0035178547,0.044930916,-0.028571913,-0.0118757505,0.023909338,0.0040108757,0.016560987,0.014752381,-0.04031016,0.03516381,0.01419944,-0.0066512576,0.08676015,-0.022305038,0.029997766,-0.027955897,0.061779555,0.05834898,0.022840343,0.036692426,0.0100388555,0.018660834,0.09505901,0.056475285,-0.06446311,-0.027763873,-0.050810274,-0.073564984,0.016508978,0.045280907,-0.033708766,0.03496057,0.049674626,-0.011165022,-0.036739886,0.042403102,0.037797228,-0.049322158,-0.05541154,0.07333012,0.016322436,0.008310328,-0.05443215,0.03497018,-0.025307368,-0.019828929,0.013732361,-0.014155389,0.019549422,-0.051956344,-0.004705596,-0.058529366,-0.047466185,-0.102972314,0.080637775,-0.019204207,0.016588792,-0.01075773,-0.026475022,-0.049902566,0.027417568,-0.008614022,0.03129369,0.011440484,0.018541144,-0.024100948,0.037813228,-0.01888159,0.054240834,-0.022325404,-0.013151285,-0.037321292,-0.04316447,-0.028636739,0.009749039,-0.012075482,0.00903627,0.04707134,-0.022594389,0.0062356223
