,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
Unknown,0.04958845,-0.009156406,0.0019153189,0.073923446,0.14061415,-0.028456027,0.009928287,0.01114857,-0.071668595,0.14417493,-0.042155575,0.0061400365,0.013854063,0.15147287,0.08604867,0.039405797,-0.039797436,0.014694399,0.0034847518,0.0058015194,0.1523752,0.11224074,0.090486124,0.01693239,-0.0856845,0.023347573,0.06573918,0.08382315,0.044789553,0.24008037,-0.094317876,0.07058954,-0.007999757,0.116914906,0.035599682,0.0041148392,-0.0370005,0.16072193,-0.010109256,0.09193701,-0.022953764,0.029412325,0.12365591,-0.019348256,-0.032670423,-0.020309413,0.043907754,-0.015026603,0.04936636,0.051547218,0.058185007,0.06522662,0.010515072,-0.005284661,0.058214504,0.020703768,0.051890116,-0.0045178,0.0839955,0.056178387,0.02836554,0.0026040429,0.037187874,0.052343324,-0.05018607,-0.0239123,-0.004158742,0.1339985,-0.003700268,0.10288607,0.09867749,0.030004252,-0.018928388,-0.018421583,-0.05122908,0.06779395,0.047095664,0.031403944,-0.0044950633,-0.05900649,0.104820825,0.12958221,0.06481169,0.096351504,0.00019010012,0.031232212,0.046695463,0.06427967,0.13117754,0.028534021,-0.0042098956,-0.028869843,-0.008343082,0.10351532,0.11963805,0.042439472,0.10568172,0.042714726,-0.0040057753,-0.026909707,-0.005585117,0.089266896,-0.0012178717,0.027529245,-0.035596278,0.027380537,-0.02904235,-0.018733215,-0.034959286,0.008993467,-0.07058852,0.2160652,0.010722754,0.010000191,-0.032575093,0.05455828,0.02454811,-0.037472147,0.029866774,-0.017575942,0.022636294,0.026002878,-0.030310903,0.042705685,0.019423733,0.06296374,-0.029429678,0.059213437,0.014036764,-0.021105073,-0.042744897,-0.026892375,-0.040644027,0.03076517,-0.055611555,-0.0008369154,0.06889793,0.0039913943,0.011957179,0.037668515,0.09053035,-0.040565025,0.038518738,0.03628692,-0.02748896,0.03777003,0.07219212,-0.0063000093,-0.010033586,0.0068626604,-0.1073282,-0.033063617,0.040490344,0.07892211,0.07801606,-0.010507186,-0.14334063,0.0075990167,0.005103576,0.07149985,-0.041919988,-0.07207705,-0.09705693,0.016875356,-0.027009755,-0.052274346,0.09070738,-0.010001061,0.0110569345,-0.026569242,0.030710373,0.06526798,-0.041566633,-0.009347321,-0.06733437,0.040310044,-0.021637935,0.017708037,-0.04727059,-0.09785514,-0.07735288,0.014812804,-0.011576699,0.012474905,-0.013325864,-0.044374224,0.021839077,0.048017174,0.05107941,-0.100313626,0.061940186,-0.01827525,0.060303148,0.05044872,0.009624329,-0.019115739,0.016160991,-0.034694172,-0.03147979,-0.031512357,0.08422201,-0.06571672,-0.055317257,-0.08716808,0.06485436,-0.058421627,-0.003184136,-0.07559657,0.06043718,-0.07008399,0.014624254,-0.093181305,0.03576567,0.049823247,-0.0036956093,0.004716297,0.010120674,0.096374005,-0.007040404,-0.0693948,0.065902226,-0.054027356,0.10555982,-0.11572093,0.09198073,0.07746569,0.043872435,0.04612933,0.019765401,-0.056316055,-0.097183056,0.012584147,0.010922601,0.04205085,0.0230167,0.034433514,-0.05070027,0.0074813543,0.033038612,0.0067786803,0.0898799,-0.037965268,0.005170639,-0.054492768,-0.09508463,0.025830058,-0.07108927,-0.0024039557,0.00564374,0.18242307,-0.043644294,0.044512298,-0.02696227,-0.0033032566,-0.011630136,0.033129133
activation,0.005053533,-0.031595603,0.012984844,0.18506183,0.19037269,-0.004223491,-0.036873367,-0.016763685,-0.05493351,0.119877286,-0.051070757,0.05110619,0.02476488,0.11861914,0.100966424,0.016286366,-0.00090051576,0.099055275,0.04554777,0.0008619621,0.15580127,-0.01335463,0.017848032,0.0022608796,-0.112187736,0.12364661,0.09120931,-0.02686685,0.033531096,0.20671472,-0.17088556,0.0415135,-0.023346353,0.008432423,0.03660328,0.030201454,0.07293698,0.12853454,-0.071175665,0.037874334,0.044699784,0.022651913,-0.02454227,0.06246692,-0.012005947,0.087784745,0.04136019,-0.03495799,0.009329465,0.053085674,0.08099146,0.073466554,-0.015585764,0.086635716,0.064916015,0.042540513,-0.08126876,0.06737604,0.11623245,0.11461041,-0.034764443,0.013518332,0.0668623,0.093182355,-0.054525785,-0.026018385,0.070963025,0.2507106,0.035550695,0.12096731,0.2558715,0.0032430098,0.04288034,0.10247991,0.06841132,0.023588544,0.010959471,0.10475687,0.039279126,-0.014249258,0.04192241,0.26886317,0.105619475,0.046761993,-0.014979404,0.07287202,0.06511785,0.16155717,0.06869553,0.07576016,0.08392981,-0.039738465,-0.006982333,0.11054395,0.026882865,0.1501823,0.1822539,0.054386906,0.08918217,-0.03340362,0.08958713,0.13798088,0.015486892,-0.011984818,0.013444282,-0.021883154,-0.054047983,-0.013438723,-0.019987896,-0.03034946,-0.0660395,0.23463005,0.14254566,-0.058868308,-0.1095848,0.013586676,0.0012028775,0.0137345735,0.04671706,0.061009653,-0.028967995,0.108181715,-0.017193085,0.15171051,0.002777494,-0.0017985044,0.038113452,0.07427617,-0.027544506,-0.016939167,-0.021819873,-0.09459638,0.065353215,0.008505917,-0.034084845,0.029446498,-0.05385747,0.044889987,-0.0038126435,-0.029194867,0.04959284,-0.004794176,0.002681926,-0.021137802,0.015707863,0.04170269,0.07196171,0.014489334,-0.013251985,0.019598441,-0.04929861,-0.0028308511,0.0072329883,-0.036091845,0.061391897,-0.03403245,-0.046189204,0.034029074,-0.021756645,-0.016757231,0.019541327,0.038621496,-0.0042293416,-0.032826584,0.045650754,0.0301298,0.050863452,0.019916615,-0.046375636,-0.07163787,-0.052793384,-0.02904181,-0.04145389,0.02792378,0.0011815085,0.048538614,-0.016294032,-0.0819674,-0.06816522,-0.0064235907,0.006198889,0.028344665,0.016473308,0.010444447,-0.00051502994,0.041128453,-0.039581507,0.015346563,-0.064492494,0.060187925,0.069922805,-0.038959984,-0.021956468,-0.039298102,-0.011463895,0.017856902,-0.030654449,0.02514523,0.015837379,0.003962592,0.006897641,0.023436274,0.042544805,0.08527242,0.04690136,-0.05559172,0.025478328,0.020216096,-0.081849225,-0.010807626,-0.020602094,0.01793739,0.04459213,-0.0041722567,-0.009949523,-0.014377171,-0.014652975,-0.016409956,0.013001622,-0.010002676,0.03036503,0.016900714,-0.007254759,-0.034905773,-0.055355765,0.0017199046,0.00027485506,0.080182336,-0.0012678278,0.020097187,-0.045187034,0.019789321,-0.011115395,0.053976897,0.007826657,0.064326614,-0.055738036,-0.025200602,0.019853003,-0.00271851,0.00961272,-0.004285441,-0.0048489957,0.0039855093,-0.025272159,-0.00065301283,0.012820019,-0.024340676,-0.0046957196,-0.057510026,-0.029323071,0.021538444,0.0025549813,0.000111387344,-0.023680283,0.006272323
effect,0.085551195,0.039610498,0.012989009,0.14585292,0.20614274,-0.06853379,-0.038351163,0.01302531,-0.06946839,0.1768217,-0.050579578,0.02976959,0.13675416,0.23967497,0.105500236,-0.017678559,0.071271874,0.0757999,0.042401392,0.039571688,0.08967329,-0.0027630737,0.10305083,0.0038738386,-0.03135195,0.0863445,0.18467215,0.045478843,-0.018251503,0.17908965,-0.19155489,0.12662451,-0.018285934,0.091701895,0.04838401,0.003740914,0.049804136,0.21457852,-0.09894189,0.11008843,0.01724072,0.07718171,0.079943545,-0.003501358,0.02974003,0.08089607,0.046640415,-0.01992591,0.010195678,-0.022812773,0.049223464,0.15511984,0.022633377,0.09411369,0.052334424,0.016270956,-0.020218855,0.07443762,0.07219514,0.16221079,0.024642466,0.09713849,-0.0055599553,0.076737374,0.042120405,0.0045760656,0.051461775,0.20529163,0.07691051,0.08922377,0.19669363,0.061223134,-0.008271258,0.029413342,0.07109958,0.10511609,0.031449992,0.09683373,-0.015689086,-0.031621493,0.06864531,0.32323438,0.09538594,0.09182584,0.062505394,0.0054445304,-0.03611184,0.13771649,0.096922755,0.022652293,0.06710601,-0.0036790166,0.0625969,0.03128359,0.08656972,0.057825953,0.14008541,-0.004526838,0.056557376,0.05610854,0.061733156,0.07059607,-0.037324637,-0.006465954,-0.009790158,0.04226539,-0.07244292,0.018392658,-0.020417126,-0.041647147,-0.020721719,0.23017514,0.097530864,-0.030955657,-0.024751047,0.096331194,0.029317081,-0.04396552,0.030565692,-0.014210157,-0.027588934,0.1283575,0.039811455,0.14105064,0.0017861498,0.047456756,0.018210314,0.003018427,0.004968522,0.004940768,-0.07667313,-0.10613276,-0.03725171,-0.00930677,-0.067279145,0.053432457,-0.000485786,-0.024309425,-0.030121826,0.026212614,0.05442969,0.03436108,0.032755543,-0.010131574,-0.0263096,-0.07968015,0.044598427,0.025511712,-0.05116942,0.025592813,-0.06961736,-0.08074684,0.066246934,0.046114095,0.06990861,-0.069025196,-0.009211059,0.043630764,0.045308635,0.03951759,-0.07109412,0.050932996,-0.053128578,-0.07442997,-0.052785322,0.007551243,0.036882617,-0.039747175,0.09434941,0.0099790795,0.04770298,0.015679484,-0.0047424217,0.023930747,-0.036627304,-0.005320678,0.03572386,0.0031565242,-0.008568592,0.037555244,-0.009128206,-0.015127385,0.0019458318,0.063969105,-0.04875954,0.010586846,-0.027816543,-0.0633686,0.023060637,0.055997137,-0.002097453,0.012575288,-0.01427901,0.00024252161,-0.041010857,0.041058306,0.076415055,-0.09383989,0.03255305,0.026990533,0.008149633,-0.050557,0.020871008,-0.02026169,-0.016231231,-0.0067921206,-0.043478373,-0.007935812,-0.06118242,0.00912862,0.059938863,0.042599224,0.0137143405,0.0026621975,0.01647404,0.016015844,0.03448974,0.06534391,0.03875808,0.08823273,-0.011962522,0.020627955,0.030734144,0.031227125,0.017734226,0.009461338,0.022271464,-0.017803187,0.045611676,0.0016978676,-0.0344252,0.05162004,0.04185529,0.10239569,0.004519417,0.070694834,-0.06792517,-0.005969512,0.009896099,0.005227421,-0.07424361,0.035884116,-0.057289753,-0.051375646,0.035069246,-0.0051115598,-0.05180458,0.057506118,0.0016597164,0.03931589,0.0005161584,0.042159885,-0.017702516,0.028050741,0.088667154,-0.02020337
inhibition,0.028082395,0.033923097,-0.033959165,0.10977529,0.13609114,0.04183955,0.0376072,-0.02700565,-0.02114714,0.17539932,-0.05373128,0.0060531204,0.07809589,0.14607917,0.088220224,-0.012905624,-0.020470768,0.010478799,0.07017735,-0.009046329,0.06642038,0.055837188,0.060506765,-0.009914236,0.09156077,0.13697487,0.09677029,0.00162901,0.015498707,0.19823474,-0.09588212,0.0653204,0.0036285794,0.08584694,-0.0176941,-0.0077580237,-0.01870902,0.19462958,-0.042547777,0.123397976,-0.036326785,0.083879225,0.09317426,0.020379458,-0.043878544,0.08698239,0.02955739,-0.0009403184,-0.022277966,0.021907207,0.087470226,0.13870673,-0.0031772496,0.014296928,0.106733315,0.021713525,0.0012490539,0.01157232,0.13139853,0.09957606,0.05774391,0.13108797,0.070351325,0.07161727,0.023864971,-0.02187663,0.025030924,0.12808621,0.034484234,0.115868494,0.24305128,0.058093037,0.053018514,0.014465835,0.1284126,0.037556257,0.014626343,0.0019321032,0.07265778,-0.030456254,0.07320905,0.23423477,0.118666366,0.06676243,0.0011580971,-0.0017948044,-0.003319819,0.21574429,0.11985792,0.07124698,0.07618991,-0.025764532,0.10138829,0.09483085,0.0986687,0.07847872,0.10750626,-0.022973126,0.089087114,0.052533273,0.061037075,0.15599576,-0.007120341,0.04637774,0.08172441,0.020395659,0.063033804,-0.009341504,0.056838904,-0.08145661,-0.033110287,0.18908703,0.06740779,-0.020379815,-0.087680355,0.011206313,0.039091885,-0.0066648386,0.0030118988,0.036056098,0.02374879,0.12508576,-0.060977258,0.05287381,0.08843029,0.0143381,0.07374142,-0.007131153,0.0015993208,-0.031539287,-0.028116353,-0.105571456,0.050768744,0.018719234,-0.020173306,-0.040345713,-0.02447116,0.02505968,-0.0008514377,0.07433473,-0.0565165,0.0014519962,0.035930246,-0.05041817,0.046634298,-0.03331111,0.006623293,-0.06913124,0.010281433,0.009262866,-0.057708945,-0.05769973,-0.02912506,0.004789574,-0.005076162,-0.07014389,-0.06649917,-0.029852321,0.036566116,-0.046572633,-0.0014994591,-0.0043934034,0.0008248462,-0.10209283,-0.018109385,0.05572245,0.05914708,-0.05780104,-0.04364248,-0.015999522,-0.014123395,0.016131828,-0.008344238,0.012564314,0.040225767,0.026959829,-0.014242421,-0.044228002,0.0008769649,0.022130044,0.06544729,-0.03947083,0.009676628,0.059527006,-0.12286267,-0.04158702,0.09402832,-0.053790398,0.036552746,0.11732596,0.07574557,-0.035778034,-0.014239438,-0.008800744,-0.10553946,0.0071497587,0.052542597,-0.039610814,0.061777394,-0.03371312,0.070444725,-0.040990543,0.045042872,-0.054396115,-0.026398148,0.062379412,0.018540056,-0.03523391,-0.087435246,-0.064531475,-0.035605703,0.06598744,-0.03079474,0.06185247,-0.05448967,0.004328999,0.032963555,0.009035665,-0.04407618,0.01851784,0.01965116,0.018868709,-0.04558959,0.08133907,-0.06505717,-0.030197233,0.017850481,0.012433897,-0.028867237,-0.014618987,-0.0038292366,-0.019900296,0.009206507,-0.040309254,-0.060979016,0.042617507,0.018432036,0.036954053,-0.07699684,0.035485476,-0.074977905,-0.011123478,-0.03657694,-0.08326827,0.028753273,0.029999567,-0.019925319,-0.002939685,0.052854415,0.004304928,0.024828983,0.061055563,0.016205192,-0.038868353,0.036429998,0.023047937
repression,-0.033774663,0.071647055,-0.025430452,0.07426366,0.07278755,-0.009617139,-0.035519715,-0.008709001,-0.023113731,0.0361749,-0.058563355,0.06786997,0.07398858,0.057417173,0.037120204,0.07595421,-0.05924715,0.025324123,0.012196434,-0.026555177,0.0550139,0.034020886,0.030949043,0.03494694,-0.04948057,0.035683386,-0.008042865,0.08091885,0.05837049,0.17183304,-0.087752186,0.06600524,-0.030270781,0.042912167,-0.01717247,0.0776591,-0.0071189646,0.109910876,-0.0014004586,0.052646276,0.054453038,0.037462093,0.027693085,-0.009277097,0.00046919903,0.060580403,-0.0053221025,0.01494361,-0.028784659,0.012785575,0.06574957,0.14643572,0.025747925,-0.020739831,0.00798199,0.035545994,0.07517462,0.013395207,-0.007889379,0.10282615,-0.040823907,0.03169705,0.047115423,0.0628566,-0.026473494,0.01967357,-0.031245146,0.14342013,-0.02447287,0.10157175,0.15675531,-0.0021119157,0.06567362,0.04934975,0.05588071,0.05125932,0.06777343,-0.011530607,-0.051345464,0.0057754084,0.07239986,0.23480088,0.08806075,0.07833231,0.022183208,0.08477736,0.069770664,-0.02010467,0.0030333763,0.005673481,0.02540281,-0.031290226,0.096313655,-0.0077730264,0.067948736,-0.0812024,0.11460749,0.009992131,-0.012567154,-0.005688973,0.057162855,0.059457973,0.0631596,-0.0005668216,0.0014623528,-0.05385126,-0.07548267,0.005447831,-0.021497507,0.0099021,-0.074221484,0.15768367,0.02236984,-0.025392817,-0.032682154,0.021151533,0.00068252115,-0.04626116,0.06620779,-0.027272208,0.02760096,0.03596589,0.038241472,0.029154096,0.06589694,0.051126547,-0.034799393,0.013451422,-0.029534344,0.015252458,-0.008252272,-0.06527479,-0.03320644,-0.095197916,0.033086617,-0.007992508,0.047234654,0.05272279,0.0021097558,0.053547893,0.042772986,-0.036193095,0.070352316,-0.024738768,0.029777875,-0.010957181,0.0931595,-0.0358137,-0.011696555,0.04655478,-0.06276093,-0.05909334,0.045693234,0.043398283,-0.018311797,-0.01570779,-0.08583332,0.053628616,-0.033035792,-0.029897688,-0.06214465,0.01878427,-0.0133398045,0.088495836,-0.019059628,-0.02438288,-0.0061161127,-0.0067745945,0.02608101,-0.009618684,-0.0019224322,-0.043596894,-0.0077053416,-0.039025865,-0.020930817,0.03419712,0.024802724,-0.08641107,-0.07059448,-0.023721937,-0.011862219,-0.018452637,-0.06952433,0.0044484106,0.016175732,0.0011634432,-0.06244801,0.06732117,0.027589612,-0.014744766,0.050639145,-0.078233615,0.016022196,0.037719496,0.035058383,-0.020976475,0.02057116,-0.040307082,0.06979026,-0.027980326,0.038010605,-0.014082838,0.007965313,-0.022852762,0.060295768,-0.043702535,0.0008861478,-0.014136014,0.004656567,0.018187815,-0.018112618,-0.013976987,0.0039138715,0.03311416,-0.034457657,-0.016242435,0.0030928415,-0.007293408,-0.01275401,-0.03102723,0.039872043,-0.008460161,0.029273717,-0.0349904,0.058004286,0.0381475,0.054303344,0.029843671,0.012440461,-0.015241745,0.002183554,0.026825992,0.04946406,-0.009422961,0.01757209,-0.00036040816,-0.07113795,0.015038202,0.069285564,0.08054123,-0.021216435,-0.013239661,0.029255567,0.03677321,-0.023714287,0.023846047,-0.031169696,0.0015601314,-0.02480598,0.102520555,0.052213546,0.07460903,-0.036798622,-0.023386741,-0.056369346,0.043639697
