,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
Unknown,-0.035664573,-0.02643451,0.035471275,-0.0029715025,-0.038993407,0.030047573,0.06899992,0.011660914,-0.027171053,-0.022769127,0.015294342,0.0439649,0.038002267,0.013193342,0.042813305,0.11486683,-0.013394404,-0.034185153,0.046552684,0.0042495225,0.030802215,-0.036671378,0.048604015,0.010947312,0.04144255,-0.03856991,0.021049641,-0.017769685,-0.021283226,0.019844053,-0.022743965,0.038920116,0.023971498,0.05616927,0.0038300261,0.037105512,0.05873956,0.046189543,-0.048123565,0.035958864,0.005712508,0.031177903,0.03135027,-0.03964738,0.048287872,0.019497236,-0.04545547,0.020882633,-0.033233583,0.05796146,0.029641641,0.024616402,0.026310656,-0.016562806,-0.037029535,-0.02391503,-0.048191175,0.042451497,-0.0049249376,0.021897882,-0.024956906,0.014588255,0.037558094,-0.007184515,0.06209556,0.031666283,0.018236365,0.013112018,-0.018489491,0.02783003,0.060938466,0.0901545,-0.056291774,-0.015235001,0.044617414,-0.030959256,0.06456467,-0.045260087,0.013382609,0.0039355797,0.028800227,0.032188214,0.023676338,-0.021269515,0.0021292844,-0.036932107,0.043206513,0.03024175,-0.03938888,-0.05411575,0.056038953,0.10955869,0.04100469,0.0032696119,0.02760828,0.057272505,0.06897441,0.010350737,-0.035678145,0.030945085,-0.0039227316,0.054755177,0.05423191,0.08368371,-0.05863329,0.042083144,-0.022859465,0.0033495913,0.037483726,0.0028265421,0.0045793527,0.016574394,-0.023886774,0.03335664,-0.030632643,-0.050230596,-0.02702942,0.046739154,-0.03127571,0.022615943,0.006045108,0.0049158474,0.03303736,-0.037175942,0.011573481,-0.038738556,-0.037962634,-0.03940429,-0.013989801,-0.00628372,0.06976343,-0.07337025,0.009715418,0.028931838,-0.028710742,0.005235054,0.029622214,-0.05927932,0.010846564,-0.017419316,0.04402481,0.06319248,-0.03966754,-0.0080710305,-0.023218717,0.042423543,0.025337724,-0.0074519976,-0.04869001,0.06668917,-0.020562412,-0.053233963,-0.04380963,0.020222414,0.026270686,-0.054165818,0.004206835,0.05439536,0.064467534,-0.044402573,-0.020075172,0.05809313,0.03652423,-0.025579397,-0.0034280964,0.03297609,-0.0421053,-0.016428202,0.048889533,-0.011191327,-0.012837546,0.0069542914,0.0007710053,0.024926642,-0.01702289,0.040504675,0.016625736,0.021353105,-0.022385787,0.05140955,-0.04340302,0.0027672858,-0.00754621,-0.018229846,-0.043111812,-0.021316467,0.04343637,-0.017994327,-0.004612024,0.055147298,0.019415654,-0.0047359583,-0.03458599,0.058741484,0.06002512,-0.026518041,-0.047442067,0.014926761,0.051109307,0.007940073,-0.00572008,-0.05017182,0.021680858,0.01874418,0.034665756,-0.027914295,0.004321225,-0.008909584,0.027390016,-0.054476738,-0.013816502,-0.051027223,0.005031772,0.013593268,-0.026931524,0.055401858,0.00036210875,-0.03298182,-0.03131488,0.108621754,0.083176374,0.046024993,-0.026357502,0.031765476,-0.026357334,0.013548054,-0.031661585,0.050430324,0.04815094,-0.038184516,0.024717454,-0.009402838,-0.030548649,0.017800411,0.049956232,0.046424635,0.0013133346,-0.06841427,-0.059755232,-0.01616753,0.03939936,0.033575896,-0.0072683822,-0.045193285,0.07973125,0.0052231136,0.056454606,-0.020873174,0.008375378,-0.012873082,-0.008693154,-0.0033016836,-0.01667779,-0.020221382,-0.022298954,0.009177643
activation,0.027402932,0.029153774,0.08867751,-0.10787956,0.0034153815,0.061242677,0.11070903,-0.015770648,0.0067773582,0.049585547,0.0003056544,0.02737121,0.08695768,0.026998423,-0.014737379,0.15812118,-0.032343548,0.0071347337,0.09816627,0.16904156,0.20352034,-0.032600265,-0.0067698513,0.12385519,0.012162651,0.009567492,-0.016064245,-0.0048675984,-0.03670035,0.062386233,-0.029031169,0.016893936,0.18167329,0.05697436,0.07414051,0.09021722,0.12751058,0.0056650443,0.06965728,0.005189829,0.054468643,0.02396332,-0.03154104,-0.020176323,0.03826521,0.11184431,-0.05090376,0.029036697,0.005538393,0.10856023,0.031740308,0.0612713,-0.006091386,-0.012805531,0.00060262956,0.009779336,-0.06294779,0.20717894,0.22163352,0.15480714,-0.04391434,-0.034902196,0.072736345,0.08681481,0.13911334,0.07515397,0.07875692,-0.029142862,-0.021645065,0.09199406,0.008269638,0.12942892,-0.06180943,0.013300221,0.23750696,0.020772804,0.027055614,-0.01931967,0.016336273,0.1531374,-0.031919047,0.006953174,0.0017858177,0.013400255,0.016568707,0.05328303,0.04325923,0.03957281,-0.038440302,-0.074751996,0.035492852,0.18022838,-0.045458708,0.030508023,-0.040666774,0.08254278,0.25062802,0.060398895,0.0950976,0.0602983,0.108309254,0.080089785,-0.041565977,-0.0145507045,-0.050556272,0.042175185,-0.037193026,0.106813535,-0.026416194,0.0734631,-0.004100531,-0.012981715,0.055031426,0.028783485,-0.07272889,-0.052765414,-0.1839817,-0.040342096,0.02116321,0.025269324,-0.010161924,-0.01964695,0.04287851,-0.03655698,-0.01486275,-0.00933239,0.06766031,0.02200167,-0.06560595,-0.016932966,-0.013000249,0.0016737517,0.0012226825,0.038148586,-0.033377107,-0.08094738,-0.05370221,-0.023497453,-0.0127471965,0.07194457,-0.0038084392,0.059666965,-0.07232215,-0.053255506,0.04332862,0.025546992,0.0005299005,0.055867888,0.08841398,-0.027595185,-0.029283496,-0.04028276,-0.01990921,0.013752213,-0.03980198,-0.013492622,0.07194457,0.04904987,0.032954488,0.0071362155,-0.016187215,0.04139254,0.03455788,-0.012097464,-0.040665835,0.017732088,0.017072694,0.07327954,-0.012257356,0.04063463,-0.047482528,-0.031206578,0.009265786,0.014748396,-0.015961908,0.026002781,-0.033695552,0.020580934,-0.022004932,-0.015432746,-0.0057463935,-0.024137113,0.059725434,-0.034927912,-0.01689828,0.022241792,-0.011540393,0.007473084,0.0058445483,0.06033383,0.09739805,0.018020518,0.073247224,-0.026602723,-0.059403524,-0.024803326,-0.01128264,0.024050007,0.018817786,-0.017912906,0.06722906,-0.020225566,-0.017116373,-0.04476322,-0.07613606,0.022173092,-0.061340444,-0.024194242,-0.0023485767,0.030820863,-0.020096242,-0.04967119,-0.06395246,0.019097365,-0.006609657,-0.012852432,0.03160777,-0.038376205,0.011934865,-0.009462684,-0.012210135,0.061492257,-0.0152570475,-0.014920895,-0.035322934,-0.045764145,-0.07177219,0.0088767335,0.034504253,-0.018671138,-0.010591914,-0.017293032,-0.03432521,-0.0104098655,0.05851364,-0.062232252,0.015148182,0.014456415,-0.04414032,-0.021390162,0.026733568,0.018942023,0.04019523,-0.03489329,0.04741172,0.021971434,-0.021142855,-0.023758156,-0.01633459,-0.009373894,0.036762338,-0.013469527,0.050263338,0.03920683,-0.038456853,-0.047475286
effect,0.03477669,0.033587325,0.07780273,-0.00019787485,0.053355522,-0.0026091014,0.10271473,0.04556712,-0.00330809,0.020718742,-0.07657997,0.06053241,0.018448235,0.0035214343,-0.0048921867,0.15576883,-0.025489544,-0.001042287,0.07841461,0.076376334,0.16472328,0.045019943,-0.019187506,0.13710295,0.02577159,-0.014732523,0.023687672,0.033016637,0.054518897,0.01599285,0.004560568,0.034118935,0.12562367,0.08286241,0.10658368,0.0958215,0.12524886,-0.023083698,0.11777484,-0.016182764,-0.033617042,0.06942622,0.011526862,0.035951737,-0.027591912,-0.010193612,-0.06333348,0.00945878,-0.03712619,0.16316374,0.1102877,0.009614408,-0.016320812,-0.020056903,0.037117638,0.035244316,-0.05427671,0.2572293,0.21159936,0.12048993,-0.053413745,-0.05002768,0.004844964,0.036342666,0.13654378,0.0914765,0.108664334,0.0036239058,0.03882773,0.07544784,-0.019730985,0.18005206,-0.065911956,-0.0075629815,0.15490283,-0.03425189,0.0038379603,-0.0075994246,-0.02229806,0.16308217,0.021104155,0.0062046284,0.05174778,0.07818039,0.015992291,-0.008929217,0.0028189663,-0.051088534,0.016900873,-0.0068402514,0.0071857967,0.19372538,-0.04127798,-0.003632336,-0.040918794,0.07200316,0.21506836,0.034926582,0.061954666,-0.022286974,0.038703106,0.14348073,-0.051636845,0.02135209,0.0031570948,0.07246752,0.003646829,0.08536502,-0.0067325323,0.057521813,0.01627257,0.033781745,0.019952802,0.004742343,-0.026048994,-0.0076673958,-0.104237325,-0.015644364,0.05228638,0.08496844,0.026098697,0.009684222,0.025874702,0.0032195945,0.03131992,-0.02897513,0.015307734,-0.009462447,0.024335213,-0.008309912,0.04670786,-0.034561764,0.047861677,0.0052369107,0.045498382,-0.014157417,0.008321091,-0.044701997,0.03902359,0.039586894,0.0035502093,-0.029364372,0.021185227,-0.008482307,-0.05594379,0.005957674,-0.024857698,-0.0008307962,0.066732556,0.022229526,-0.035620857,-0.057794787,-0.05002206,-0.021312509,-0.020458674,0.0015631076,0.04307835,0.028174583,-0.039300274,0.05794528,-0.07895871,0.017750127,0.0547398,-0.01723958,0.049708042,-0.00084711274,-0.034454834,-0.00932765,0.062931515,0.017246526,-0.021274516,-0.037056956,-0.06966313,0.047813877,-0.045818143,0.0385957,-0.046508167,0.003061969,-0.034010924,0.06895368,-0.023173748,-0.069852665,-0.002199569,-0.034956165,0.03561814,-0.004925749,-0.018540246,-0.028284328,0.011805157,0.07826133,0.027496574,-0.025790112,-0.0070963725,-0.018743541,-0.050161395,0.04463287,0.05389376,0.051289845,-0.013951508,-0.06945431,0.07530623,-0.02583369,-0.046295043,0.007357384,0.0461846,-0.026799612,-0.059340455,0.011896695,0.00924534,-0.025155274,0.03772004,-0.022766303,0.024460135,0.06220736,0.019833531,-0.073270276,0.03451925,-0.013074053,0.03959704,0.018083462,0.043106884,-0.037889633,-0.020255977,-0.023284813,0.039238434,-0.02340827,-0.040735696,0.046403404,-0.011694098,0.004491761,0.029411726,-0.06020808,-0.059356317,0.009467354,-0.043319747,0.020068347,0.03729987,-0.05388027,-0.043841846,0.026893105,0.015593184,0.026708994,0.04298191,-0.049090516,0.061469946,-0.040416647,-0.032199547,0.060383797,0.05121108,-0.03233651,0.020401664,-0.034267765,0.035541113,-0.043611415,0.02192827,0.00015223834
inhibition,0.07033759,-0.0117146205,0.032507934,0.011477006,0.010963463,0.030832823,0.11196735,0.07359628,-0.032283027,0.045024548,-0.037864354,-0.011841963,0.053966165,-0.00815914,0.06319283,0.20706753,-0.026083585,-0.045272797,0.023198824,0.082406275,0.1702985,-0.04141002,0.020015012,0.19447121,0.021133376,0.023738643,0.0627185,-0.047034413,0.011232192,-0.030863162,0.0032641706,-0.0038943002,0.22014984,0.066329196,0.12865658,0.06032594,0.08574867,-0.017574012,0.056909587,0.035943165,-0.030748138,0.08341563,0.043862335,0.01728778,0.019868923,-0.00044967368,-0.027727962,0.016953029,7.698156e-06,0.14821653,0.08258652,0.038260214,0.03719695,-0.018797884,0.011712337,-0.009720562,-0.011011167,0.24521248,0.18585403,0.05172531,-0.04883318,-0.020555764,0.0030376094,0.010457784,0.13620152,0.09556737,0.04480867,-0.022006124,0.026892629,0.060592867,-0.001606647,0.16851743,-0.04792008,0.0019597518,0.18489982,-0.015533359,0.027565747,-0.033027317,-0.026003113,0.12959337,0.029654292,-0.018336203,0.025191408,0.111551955,0.05717515,0.023019476,0.067310974,-0.041494142,-0.046927672,-0.0070805238,0.035074305,0.13375072,0.0007552621,0.052457813,-0.04683845,0.0719717,0.19520442,0.08668069,0.011275091,-0.025417427,0.035953257,0.07091602,0.0413518,0.008004689,-0.056933437,0.010563031,-0.021633033,0.08994361,0.046807416,-0.020354765,0.045637794,-0.0114318505,0.06269638,-0.011000383,-0.058681116,0.005809568,-0.1358347,0.012986131,-0.004745335,0.0038341302,0.01616985,0.077729285,0.054006457,-0.012435676,-0.017572233,0.039341595,0.0036498727,-0.0086893905,-0.056114126,-0.07004403,-0.035268564,0.038399022,0.028814133,0.061621502,-0.003402966,-0.057247657,-0.014814543,0.017700136,-0.017440211,-0.01281444,0.07813634,-0.030632736,0.031161524,0.01843951,-0.027986176,0.050533365,0.028614815,0.047991317,0.044306234,0.02226217,-0.015144457,0.005437492,-0.021867856,0.04646815,0.005866536,-0.021289386,0.047254812,-0.03933081,-0.03393761,0.026002845,-0.08884633,-0.016023265,0.022524305,0.0024481183,0.022578264,0.008544098,0.06883649,0.02119189,-0.045490585,-0.03753152,-0.024896787,0.052508768,-0.038333394,0.08847831,-0.09259812,0.04487608,0.0039842986,-0.050135788,-0.05404083,-0.0075987587,-0.038440485,-0.02221912,0.04354337,0.045164958,-0.042149495,-0.044492785,-0.03280247,-0.0040459936,0.016035402,-0.0052570375,0.05263148,0.04645396,0.0704337,-0.039997343,-0.06913421,0.03940555,0.02714218,-0.014001585,0.016123306,0.057799917,-0.008125698,-0.031464968,-0.0364843,0.033770505,0.015349313,0.026602117,-0.045770507,-0.033672377,-0.04946896,0.04394503,0.040115684,-0.03578374,0.029447956,0.09005764,0.062192265,0.020595236,-0.043494884,0.00028960698,0.030300513,0.090656646,0.03486205,0.049615495,0.038876977,0.019448135,0.002993042,-0.06911987,0.05155502,-0.046968635,0.0043034377,-0.029461311,0.006730266,-0.017078368,-0.019377407,-0.047626805,-0.04863728,0.032684408,0.015290072,-0.077033386,0.0164976,-0.014785508,0.010975124,0.08438846,-0.034952354,0.038270984,-0.058247395,0.008284807,-0.0452063,-0.032816365,-0.003744936,-0.039727405,0.02824056,-0.020049563,-0.014065527,-0.059810657,0.023846759,0.019547967
repression,-0.01450281,-0.041521948,0.08920346,-0.03732233,-0.037595127,-0.036539096,0.10802219,0.022415085,0.030678006,-0.029882856,0.03078328,0.026495775,0.0060198,0.042440686,0.05282806,0.0791395,-0.0431704,-0.025003532,0.05295179,0.02612539,0.08043499,0.06368875,-0.051631853,0.066486575,-0.012631511,-0.031866208,-0.008060182,0.035663657,0.02912698,0.041841637,-0.020845912,0.051861983,0.043654863,0.026851477,-0.019737018,-0.04205624,0.06083427,-0.055528395,0.051999602,-0.051688757,0.028220735,-0.029740794,-0.04953909,0.015649227,0.03459882,0.0022049954,-0.050858248,0.1017242,-0.029657936,-0.0060644983,0.032371268,0.0016964107,-0.015079284,-0.018614769,0.035156615,0.05853921,0.002326494,0.08966028,0.042340945,0.09125787,0.030812671,-0.0331445,0.05856944,0.046594597,-0.004429026,0.03165754,0.055032548,-0.03130072,0.041139603,0.033616576,0.03419035,0.0031116495,-0.060957197,-0.01857425,0.12236299,-0.045760717,0.045861386,0.031495154,0.020985298,0.045344897,0.050369646,-0.051253334,0.025777586,0.054364033,0.0051566567,-0.017496059,-0.031067677,0.0064229057,-0.045235723,-0.040237807,-0.07233868,-0.030296147,0.00013645766,0.059573058,-0.023245266,-0.035959557,0.0036346104,0.016471004,0.01557644,-0.056173947,-0.0057183676,0.03743947,-0.028538158,0.06060629,0.0071598077,-0.011192486,-0.02711572,0.04862553,-0.028519774,0.03781815,0.03569508,-0.020314747,0.03615019,-0.04950301,-0.05778167,0.044740293,-0.018179493,-0.036611173,0.04830463,0.028073987,-0.034413286,-0.0051012826,0.048719563,-0.013297869,0.048606,-0.06480703,0.03113029,0.014436449,0.0021054444,0.006772431,0.0034302361,-0.016344398,-0.010285578,-0.025452742,0.0347914,0.021442937,0.012271932,-0.005879642,-0.047865495,-0.028986912,0.024135225,8.803749e-05,-0.0123978285,0.06579803,0.0587543,0.01968586,0.034124836,0.008261975,-0.035200637,-0.021894,-0.007821934,-0.045155592,0.013065966,-0.026042724,0.002405639,-0.077046186,-0.031883724,0.025602823,0.0746791,-0.042438403,-0.005895637,0.072236545,-0.08911193,-0.060129356,0.038444407,-0.008598694,-0.0069310074,0.0590359,0.038485833,-0.017393276,-0.010133596,0.015344694,0.012826358,0.0081137745,0.0064786053,-0.030113596,0.05196504,-0.048784364,-0.08723268,0.0645744,-0.07163967,0.047176,-0.050802883,-0.042789772,0.03310746,0.056721654,0.015583241,-0.0028434442,0.022202069,0.02265824,-0.006462395,0.0117655005,-0.034532655,-0.0203242,-0.017648717,0.0063458863,0.006186041,-0.05049853,0.00035612893,0.044583067,0.027520536,0.043466114,0.059231907,-0.047515966,-0.015363899,-0.00614321,0.0041251346,-0.053151228,-0.018704597,0.028467745,-0.06394265,0.009096188,0.0020056947,-0.0053843115,0.043698315,0.021613965,-0.022764392,0.05110965,-0.100775115,-0.051178113,0.062081046,0.029726837,0.05013546,-0.011922641,-0.03438616,-0.07505237,-0.026023762,0.0046595954,0.055605244,0.011153458,0.01101726,-0.032362886,0.039440546,-0.027994994,-0.028422428,0.005711465,-0.041409004,-0.0063811042,-0.04822977,0.038587037,0.0060087726,0.0025830371,0.009012062,-0.061727982,0.003742775,-0.028392022,-0.027372235,0.020697892,0.022922711,0.05102227,-0.0048428783,-0.031825636,-0.057862237,0.017443541,-0.0066649127,-0.026769888
