cell_type,rank,Gene1,Gene2,EdgeWeight
ge_in,64440,KDM5B,TBX19,-1.1091322678225786
ge_in,64441,MYT1L,GPR39,-1.1092071918042965
ge_in,64442,KMT2A,TG,-1.10921122338284
ge_in,64443,BCL11A,HORMAD2-AS1,-1.109298814221614
ge_in,64444,BCL11A,PLCH2,-1.1093951055715665
ge_in,64445,BCL11A,AC005609.1,-1.1095627099959102
ge_in,64446,MYT1L,SYNPO,-1.1095742829237598
ge_in,64447,MYT1L,FIGN,-1.1095842197706811
ge_in,64448,BCL11A,KIRREL2,-1.109602699666517
ge_in,64449,BCL11A,AC060834.2,-1.109680435027843
ge_in,64450,KDM5B,FBXL2,-1.1097364200479132
ge_in,64451,ASH1L,AC012467.2,-1.109904494330023
ge_in,64452,KMT2A,ARHGAP29,-1.109919363590252
ge_in,64453,MYT1L,ADHFE1,-1.109974587532354
ge_in,64454,ASH1L,WIPF3,-1.1099953567622938
ge_in,64455,KDM5B,ELN,-1.110180833864267
ge_in,64456,KDM5B,CENPU,-1.1103412454672932
ge_in,64457,MYT1L,NIM1K,-1.1103417296099591
ge_in,64458,KDM5B,AC104123.1,-1.110358249946768
ge_in,64459,KDM5B,Z95115.1,-1.1104173044902539
ge_in,64460,ASH1L,CLDN6,-1.1104544326088597
ge_in,64461,ASH1L,AC055811.2,-1.1104695835150764
ge_in,64462,KMT2A,AP003486.1,-1.1105000960030342
ge_in,64463,BCL11A,AC011466.3,-1.1105535112877536
ge_in,64464,BCL11A,ELN,-1.110569731332331
ge_in,64465,KMT2A,COL5A1,-1.1106609985723532
ge_in,64466,KMT2A,C5,-1.1107033621469937
ge_in,64467,ASH1L,AC104461.1,-1.1108371125555712
ge_in,64468,KMT2A,ADAMTS19,-1.1108961602136516
ge_in,64469,MYT1L,SLC9A2,-1.1109238039588363
ge_in,64470,BCL11A,AF130359.1,-1.1110970738549932
ge_in,64471,MYT1L,CHRNB2,-1.1111090289612482
ge_in,64472,BCL11A,VWA5B1,-1.1111160102340143
ge_in,64473,MYT1L,AC095055.1,-1.1112221218795753
ge_in,64474,MYT1L,TRIM25,-1.1112451853904086
ge_in,64475,BCL11A,EFNA1,-1.111285331939882
ge_in,64476,MYT1L,AC007495.2,-1.1113385907901223
ge_in,64477,KMT2A,TMEM254-AS1,-1.1113529908375102
ge_in,64478,ASH1L,LDHC,-1.1113766091893647
ge_in,64479,MYT1L,GPR27,-1.1114972601561863
ge_in,64480,ASH1L,LINC02259,-1.1115223965315508
ge_in,64481,KMT2A,AC015853.3,-1.111529590872424
ge_in,64482,MYT1L,ZSCAN1,-1.111588499623167
ge_in,64483,KDM5B,AC009435.1,-1.1116399051711066
ge_in,64484,KMT2A,NEMP1,-1.1116583636002277
