cell_type,rank,Gene1,Gene2,EdgeWeight
ge_npc,70894,KDM5B,CCL2,-0.2631890180296695
ge_npc,70895,BCL11A,PARD6A,-0.26322993139201284
ge_npc,70896,KMT2A,STK31,-0.26339686938792284
ge_npc,70897,KMT2A,A2ML1,-0.26340844736296887
ge_npc,70898,BCL11A,ADORA2A-AS1,-0.2635961336471114
ge_npc,70899,KMT2A,RBP2,-0.26377493821569603
ge_npc,70900,BCL11A,CYB561,-0.26377891496649597
ge_npc,70901,KMT2A,SHISA2,-0.2638328114485051
ge_npc,70902,BCL11A,LINC02327,-0.26392083441799025
ge_npc,70903,KMT2A,AF165147.1,-0.2640168216170439
ge_npc,70904,KDM5B,MBP,-0.26420887852190234
ge_npc,70905,BCL11A,AP000704.1,-0.26424497905738975
ge_npc,70906,ASH1L,NCDN,-0.26431604229130073
ge_npc,70907,KDM5B,TEKT1,-0.26437831670617784
ge_npc,70908,KMT2A,LINC02389,-0.26439974457874466
ge_npc,70909,ASH1L,AP001979.2,-0.2645453174226291
ge_npc,70910,KDM5B,GDPD3,-0.2650287976303982
ge_npc,70911,KDM5B,DLG4,-0.26527306815393087
ge_npc,70912,BCL11A,MX1,-0.2653132158499095
ge_npc,70913,ASH1L,COX8A,-0.265377344954575
ge_npc,70914,MYT1L,HES5,-0.26560271723384704
ge_npc,70915,ASH1L,AC010519.1,-0.2657795198049416
ge_npc,70916,KMT2A,AC079950.1,-0.265815451485201
ge_npc,70917,BCL11A,FNDC5,-0.2659390538412879
ge_npc,70918,BCL11A,MBP,-0.2660027216066757
ge_npc,70919,MYT1L,ALYREF,-0.2661165627449536
ge_npc,70920,KMT2A,AC245060.6,-0.26626643506790254
ge_npc,70921,MYT1L,AL929472.2,-0.2664058562634065
ge_npc,70922,KMT2A,FAM156A,-0.2666746050889887
ge_npc,70923,BCL11A,ZXDB,-0.2666874076170391
ge_npc,70924,KDM5B,PDE6C,-0.26672713195617614
ge_npc,70925,KDM5B,PCDHB13,-0.26687458411980586
ge_npc,70926,ASH1L,C19ORF38,-0.2670825605891514
ge_npc,70927,KMT2A,CLUL1,-0.2670906450490208
ge_npc,70928,ASH1L,GOLGA6L9,-0.26709740258533504
ge_npc,70929,KDM5B,AC079921.1,-0.26723281439652974
ge_npc,70930,KDM5B,CRYGS,-0.26730539424124466
ge_npc,70931,KMT2A,AL353759.1,-0.2673693932649925
ge_npc,70932,KMT2A,TMEM45A,-0.2674143510058408
ge_npc,70933,ASH1L,GDF5,-0.26742106960457873
ge_npc,70934,KMT2A,AC010175.1,-0.26756754614698225
ge_npc,70935,ASH1L,LINC02334,-0.2676833736897233
ge_npc,70936,BCL11A,DALRD3,-0.2680931564157012
ge_npc,70937,KMT2A,AC069277.1,-0.2680969805339943
