cell_type,rank,Gene1,Gene2,EdgeWeight
ctx_ip,22879,KDM5B,NOP14-AS1,3.9213059738307003
ctx_ip,22880,KDM5B,ZNF654,3.9209525591784105
ctx_ip,22881,KDM5B,FBRS,3.9208767230701937
ctx_ip,22882,KDM5B,PPM1D,3.920753038082672
ctx_ip,22883,KMT2A,ZC3H7A,3.9206880460649565
ctx_ip,22884,BCL11A,CAVIN4,3.920594640010094
ctx_ip,22885,ASH1L,RBM3,3.9205764828330216
ctx_ip,22886,BCL11A,MYO1E,3.9205698411787213
ctx_ip,22887,BCL11A,CLSTN2,3.920528737989989
ctx_ip,22888,KMT2A,HIKESHI,3.9202041612030203
ctx_ip,22889,KMT2A,CDK12,3.919498219742896
ctx_ip,22890,MYT1L,HOOK2,3.9194368711330476
ctx_ip,22891,KMT2A,EIF2AK1,3.9192269979438596
ctx_ip,22892,KMT2A,SUCLG1,3.919132659871795
ctx_ip,22893,MYT1L,SLC35D1,3.9191164700902896
ctx_ip,22894,KDM5B,ZNF627,3.918773614987463
ctx_ip,22895,KDM5B,CPB2-AS1,3.9183939698696526
ctx_ip,22896,MYT1L,SHARPIN,3.918318551338802
ctx_ip,22897,MYT1L,SIRT1,3.918100981402772
ctx_ip,22898,KMT2A,PYURF,3.918061225163728
ctx_ip,22899,ASH1L,MIOS,3.9180009331759744
ctx_ip,22900,BCL11A,FANCM,3.9179217515318645
ctx_ip,22901,KMT2A,CMPK1,3.9178720837024628
ctx_ip,22902,MYT1L,MTMR8,3.917277896185637
ctx_ip,22903,MYT1L,MRPL15,3.9172109623553557
ctx_ip,22904,MYT1L,AMFR,3.9170779436803635
ctx_ip,22905,ASH1L,SMARCB1,3.916904059301029
ctx_ip,22906,ASH1L,NHP2,3.916716018712615
ctx_ip,22907,MYT1L,HIPK1,3.916361922039134
ctx_ip,22908,KDM5B,CNOT10,3.9163334847824034
ctx_ip,22909,BCL11A,CHRNB4,3.916259455360585
ctx_ip,22910,MYT1L,ZNF529-AS1,3.916181327807362
ctx_ip,22911,ASH1L,RTTN,3.9159168368899224
