cell_type,rank,Gene1,Gene2,EdgeWeight
ctx_npc,40332,ASH1L,ZNF280B,2.337691329271598
ctx_npc,40333,ASH1L,ARID3A,2.337562506632935
ctx_npc,40334,MYT1L,CD47,2.337527639770963
ctx_npc,40335,MYT1L,PRRC2A,2.337476029588271
ctx_npc,40336,BCL11A,TMEM64,2.337397265086997
ctx_npc,40337,MYT1L,APOLD1,2.337342060750417
ctx_npc,40338,ASH1L,CDKL2,2.3373249079178544
ctx_npc,40339,BCL11A,FRMPD3,2.3369133720330924
ctx_npc,40340,MYT1L,KBTBD6,2.3367013638991083
ctx_npc,40341,KDM5B,EEF1A2,2.336698907983686
ctx_npc,40342,BCL11A,AC092650.1,2.3366638438785774
ctx_npc,40343,BCL11A,CDK2AP2,2.3365657186276527
ctx_npc,40344,MYT1L,AKIRIN2,2.3361536965769614
ctx_npc,40345,MYT1L,ST3GAL2,2.3358685849962857
ctx_npc,40346,KDM5B,ZSWIM9,2.3358038519505864
ctx_npc,40347,KMT2A,MVK,2.335639964650851
ctx_npc,40348,MYT1L,CBLL1,2.3356049803435965
ctx_npc,40349,BCL11A,ZNF510,2.335528730972374
ctx_npc,40350,KDM5B,LINC02249,2.3354077050542816
ctx_npc,40351,MYT1L,AC087500.1,2.3348939132367286
ctx_npc,40352,KDM5B,CEP76,2.33483053496568
ctx_npc,40353,MYT1L,HNMT,2.3347053022281368
ctx_npc,40354,KMT2A,ATP6V0A2,2.33468286630988
ctx_npc,40355,KMT2A,HEBP1,2.3346531629523506
ctx_npc,40356,MYT1L,FBXO3,2.334639108751182
ctx_npc,40357,ASH1L,KIZ-AS1,2.3344690762716573
ctx_npc,40358,MYT1L,VAMP3,2.334370073223904
ctx_npc,40359,ASH1L,TSR3,2.334328124695033
ctx_npc,40360,ASH1L,GCAT,2.334299043649469
ctx_npc,40361,MYT1L,CARF,2.334296176833456
ctx_npc,40362,BCL11A,CDC37L1,2.334251754692653
ctx_npc,40363,KMT2A,AGPAT1,2.3342227086857217
ctx_npc,40364,MYT1L,ZMYND19,2.3339309968563042
ctx_npc,40365,BCL11A,SPEG,2.333840746752327
ctx_npc,40366,KDM5B,AC073343.2,2.333615194422588
ctx_npc,40367,MYT1L,FAM122C,2.333439283481293
ctx_npc,40368,MYT1L,BICD2,2.3334336177318615
ctx_npc,40369,BCL11A,PURA,2.3332959543875345
ctx_npc,40370,KDM5B,MCC,2.3332858723075693
ctx_npc,40371,MYT1L,CCDC157,2.332971660858316
ctx_npc,40372,MYT1L,RPS6KB1,2.3329095697398703
ctx_npc,40373,ASH1L,AC099522.2,2.3329063515828516
ctx_npc,40374,BCL11A,MMGT1,2.332892831320807
ctx_npc,40375,MYT1L,DNAJA2,2.332855298200895
ctx_npc,40376,ASH1L,FUT10,2.332565295471066
ctx_npc,40377,ASH1L,TCOF1,2.3324355760642415
ctx_npc,40378,KMT2A,PROX1,2.332431757277308
ctx_npc,40379,MYT1L,PCDH8,2.332225895909064
ctx_npc,40380,KMT2A,TRAF3IP1,2.33222039724818
ctx_npc,40381,MYT1L,SCCPDH,2.3321922384992395
ctx_npc,40382,BCL11A,KBTBD6,2.3320968947019316
ctx_npc,40383,KMT2A,TTC39B,2.3319140285633813
ctx_npc,40384,ASH1L,EFNA5,2.3318586248594038
ctx_npc,40385,MYT1L,TANGO2,2.331780769583299
ctx_npc,40386,BCL11A,AL359921.1,2.331743617076057
ctx_npc,40387,BCL11A,DDR2,2.331741565024362
ctx_npc,40388,KDM5B,TRAM1L1,2.3316181881194007
ctx_npc,40389,KMT2A,H2BC9,2.3315472629440785
ctx_npc,40390,KMT2A,EPRS1 /// QARS1,2.331501129592329
ctx_npc,40391,KMT2A,MBD6,2.3314910862939886
ctx_npc,40392,MYT1L,RFT1,2.3314582676391247
ctx_npc,40393,KMT2A,PXDNL,2.3314562243312817
ctx_npc,40394,KDM5B,RBM18,2.3313685414499834
ctx_npc,40395,ASH1L,GTPBP6,2.331351888392821
ctx_npc,40396,ASH1L,JUNB,2.3313002149148208
ctx_npc,40397,KDM5B,IMPDH2,2.331199086634693
ctx_npc,40398,BCL11A,FAM49A,2.331194974417887
ctx_npc,40399,KDM5B,SPTBN4,2.331037289719036
ctx_npc,40400,KDM5B,RPL22L1,2.331009442708639
ctx_npc,40401,KMT2A,IFT46,2.3309425089860194
ctx_npc,40402,KDM5B,RCN1,2.33088894374448
ctx_npc,40403,ASH1L,EIF2B4,2.330537866974744
ctx_npc,40404,KDM5B,SERAC1,2.3304777856090255
ctx_npc,40405,MYT1L,PGS1,2.330365581846955
ctx_npc,40406,KDM5B,AC092069.1,2.3303026861093965
ctx_npc,40407,ASH1L,HTR2A,2.330262563667017
ctx_npc,40408,KMT2A,CHRM5,2.330212161399985
ctx_npc,40409,KMT2A,MRPL44,2.3301980809285103
ctx_npc,40410,BCL11A,AL157938.2,2.330179288237613
ctx_npc,40411,BCL11A,CBLL1,2.330155912273622
ctx_npc,40412,ASH1L,RAMP2,2.3301043373412833
ctx_npc,40413,KDM5B,MOCS2,2.3299174594110825
ctx_npc,40414,KMT2A,BAALC,2.329815132137509
ctx_npc,40415,MYT1L,FAM50A,2.329791582573614
ctx_npc,40416,BCL11A,PSKH1,2.329630046925864
ctx_npc,40417,BCL11A,SLC25A23,2.3296241862021603
ctx_npc,40418,MYT1L,LINC01184,2.3295908407960564
ctx_npc,40419,MYT1L,MRPS25,2.329482956981447
ctx_npc,40420,MYT1L,CISD1,2.3294419697807873
ctx_npc,40421,MYT1L,RCHY1,2.3291167438325067
ctx_npc,40422,BCL11A,WARS1,2.329097120681086
ctx_npc,40423,MYT1L,SYNGR3,2.329074718394026
