,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
Unknown,0.008553758,-0.0046050847,0.00016868114,0.034997918,0.046145722,-0.027822752,0.02163802,0.024799973,0.01203312,-0.0030240938,0.038987614,-0.01662232,-0.005323015,-0.020811785,-0.052509885,0.016485356,-0.040173136,-0.043625727,0.024157718,-0.017578397,-0.025336634,0.034291536,-0.021061018,0.017883971,-0.05001175,0.006204985,0.0021765977,-0.0529303,-0.031302385,0.017209262,-0.007907573,-0.035010163,-0.013119683,0.006286852,0.018479548,-0.032248188,0.026819043,0.011369728,0.0089999065,0.033372,-0.010712959,-0.03030743,0.0407421,0.03204918,0.053817205,-0.010026906,0.009906493,-0.021788541,-0.0440056,-0.051743135,-0.05378308,-0.02160564,0.020640306,-0.022982039,-0.032750543,-0.0155572295,-0.008065946,0.02125848,0.051884815,-0.0294092,-0.021407433,0.03218379,-0.016303718,0.043174453,0.051360384,-0.006087996,-0.017396152,-0.003000699,-0.014506549,-0.003264524,0.008616947,0.011153445,-0.027461175,-0.008184604,0.026507042,-0.049760617,0.019336328,-0.0337956,0.0080424175,0.021489479,-0.04459527,0.05195996,0.009124115,-0.036573637,0.019472428,-0.046368025,0.016412243,-0.04754894,0.035878994,0.0119446665,0.002975572,0.036415815,-0.0052836165,0.030456826,-0.03626764,-0.039766274,-0.013445102,-0.0057991818,0.05057533,0.037343383,-0.019636802,0.012607358,-0.027980257,-0.02273241,-0.011993393,0.04748691,-0.023398276,-0.008385085,-0.03554383,0.028111808,-0.045963965,0.0018174984,-0.001999665,-0.016148105,0.016512841,0.0053927377,0.024347529,-0.037820112,-0.04686713,-0.026892617,-0.046119586,-0.047614247,0.043518238,0.006091386,0.03428574,0.028315723,0.01088801,-0.01888638,-0.020170808,-0.00022149086,0.013137184,-0.0516947,-0.04684917,-0.038715344,-0.050110362,0.03370043,0.047959745,-0.0046622604,-0.051698707,0.032707445,-0.015424799,0.044103727,-0.0068913065,0.009741515,0.0173591,-0.024117101,0.044313975,-0.012010071,-0.00864831,-0.036033727,-0.012152068,0.010528475,-0.030351624,-0.021459293,-0.021494098,-0.035586316,0.037643336,-0.03960611,0.050651163,0.015651688,-0.011055324,-0.00488241,0.003319867,-0.046216987,-0.037353307,-0.0030099824,0.03298174,-0.024857964,0.028918542,0.0021087117,0.0015273914,-0.0027594902,0.028332368,0.012251414,0.032848947,0.020604677,-0.029327156,0.020523436,-0.0143754,-0.018017821,0.04416892,-0.043456983,-0.00740885,0.010315411,0.02879256,0.033546507,-0.007277135,-0.043479055,-0.051689856,-0.007915597,-0.03041498,0.01624497,0.0074366033,0.041066453,-0.033186622,0.03305269,-0.025616713,-0.018688463,-0.029826896,0.001004085,-0.002436567,-0.036183238,0.040039234,-0.025530685,-0.013640348,0.025342792,-0.006346725,-0.05012721,0.042841867,-0.011976067,-0.03275673,0.017514594,-0.005957376,-0.022674128,0.0346231,0.003437508,-0.02087254,-0.038071103,0.03188806,-0.028620886,-0.046267994,0.033878513,0.008624844,-0.043147806,0.04035966,0.051684268,-0.050131075,-0.02802436,-0.011356376,0.028495505,-0.019343331,-0.02333526,-0.03143349,-0.036506213,-0.025273971,0.054496214,0.019763805,0.0021199659,-0.053072844,0.03831877,0.00084983185,0.02702149,0.048407122,0.019141167,0.04864639,-0.010899711,-0.0029559173,-0.033440586,0.008707091,0.011415519,0.004218757,-0.049894515,0.02170898,-0.010384589,-0.03952154,0.035168275
activation,0.032947063,0.048426785,0.023874491,-0.04322714,0.010257915,-0.054213237,-0.037358075,0.012093723,0.013707079,-0.026627414,-0.007879209,-0.0005523786,0.030528605,0.051918402,0.014178835,0.007949546,0.010142215,-0.031140532,-0.0005674362,-0.04602456,-0.021780606,0.034510203,0.0119822025,-0.042740066,-0.04499944,-0.053276725,0.051603734,-0.004048869,-0.04293299,-0.035715424,-0.05146145,0.027034417,-0.009941027,0.04333783,0.014705136,-0.009998038,-0.034259535,0.02261345,-0.006421067,0.039348617,0.0355931,0.024408795,-0.038106367,-0.014451526,-0.015716687,-0.026652977,0.009907231,-0.053251423,-0.03544679,0.012360781,0.0008753687,0.044350356,0.036725022,-0.0048272684,-0.004425317,0.03297878,-0.04969873,0.02134204,0.0077116117,-0.030237082,-0.02848149,-0.02536775,-0.049691305,-0.0057149716,0.013168462,-0.029203825,0.029741779,-0.049213402,0.009377696,0.008610606,0.05306588,-0.01078235,-0.013531666,-0.026791185,0.03587681,-0.0077329017,-0.026209053,0.002626069,-0.039095245,-0.03723323,0.02277968,-0.0065077394,-0.025494948,0.010027707,-0.033884417,0.035478137,0.016114034,-0.054276455,0.0045798495,0.007312633,-0.022858195,-0.009340141,0.032432556,0.04307305,-0.034295242,-0.031124745,0.018647924,-0.052285284,-0.021670237,-0.041814506,-0.008001875,-0.036394723,0.012092821,-0.043858856,-0.024555737,0.049629718,0.040544227,0.024392366,0.003954608,0.03309807,0.032543883,0.042539895,0.01724901,-0.050864145,-0.0012777299,-0.036219493,-0.018031988,0.0001183711,-0.04015099,-0.047573704,-0.025837528,0.025784098,-0.047359943,0.004371684,0.01645933,0.024520718,0.01172474,0.049863018,-0.01578562,0.009457074,-0.033919588,-0.03068455,0.04994265,0.013698429,0.0051494054,-0.0040750913,-0.0030585825,-0.03186591,-0.04763694,0.047898978,-0.01101267,-0.049903557,0.026153773,0.018818207,0.027289227,-0.008590661,0.0409545,-0.0061720163,0.04673744,-0.007137604,-0.03391762,0.044758946,0.04706469,0.031568438,-0.0034142137,-0.048411384,0.046059266,0.0028811805,-0.03722799,-0.050793014,-0.018321,-0.010523856,-0.008860655,0.04529412,-0.01071538,-0.006557338,-0.046876915,0.025916107,-0.014825508,-0.021722518,0.008783549,0.013171062,0.006488323,-0.05080311,-0.051470853,0.021839231,-0.00033289194,-0.042832524,-0.0038393065,-0.040372454,-0.016498484,-0.0546435,0.0028334,-0.0023483858,0.027818061,0.03562863,0.049719863,0.0067027546,-0.019653112,0.00655083,0.0033344887,0.04061511,-0.009982958,-0.02666619,0.037200123,-0.05015825,-0.045851104,-0.028068423,-0.0130071975,0.0011784807,-0.030416492,-0.01814374,0.035954885,-0.02375435,-0.024766244,0.019943379,-0.045746833,0.041496,-0.016597241,0.03390263,-0.046798244,0.0015441328,0.026488349,-0.020197775,0.04810375,0.0155346915,0.054258615,-0.0011081025,0.024370477,0.0037173405,-0.01192354,0.05399912,-0.028239608,0.0011938922,0.05008947,-0.027550723,-0.045296058,0.006865151,-0.009225212,-0.046304524,0.015245743,0.020313531,-0.054284427,0.050777175,-0.019590579,-0.0020202734,-0.028036337,0.0040368475,0.040079087,-0.049516417,0.051613227,-0.031642795,0.02039741,-0.043015644,-0.017988257,-0.00575988,0.0069143586,0.004811071,0.01336582,-0.005245663,0.01409357,-0.04441905,0.043227777,-0.024196818,0.047264613,-0.025057793
effect,-0.040907472,-0.026916256,-0.014408566,-0.033190813,-0.050747745,0.024155632,-0.011086676,-0.03879808,-0.018800274,-0.035127632,0.051322654,0.042505704,-0.03380969,0.053730547,0.008299127,-0.000697542,0.005239319,-0.017096981,-0.051396683,0.002335444,-0.036362335,-0.028389223,-0.03800956,-0.02351977,0.0106989145,0.030932583,0.018147781,0.030990846,-0.029224288,-0.05012436,0.029316194,0.053358003,0.041840844,-0.05170387,-0.016629182,0.01050698,-0.031726196,-0.026214477,0.018148907,-0.04706128,0.009263709,0.0251337,0.02044177,-0.04793621,-0.010114409,0.010546014,0.006096296,0.009864286,0.053305656,0.046134472,-0.0032109544,-0.015610963,-0.011022527,0.029834382,0.046610743,-0.031429186,0.047790527,0.007480599,-0.046233214,0.0152658,0.0046283863,0.024563596,0.024132855,0.016379602,0.0006648861,0.05390182,0.0040967613,-0.024528435,-0.024158902,-0.045068152,-0.01149112,-0.020124167,0.01960291,0.004806824,-0.03680739,0.028796546,-0.037583522,-0.046600465,0.023352757,-0.05233517,0.05286485,0.030208133,-0.03383898,-0.040554687,-0.014882363,0.05072488,0.04826209,-0.017391413,0.040085822,-0.036347903,-0.009436615,0.012386017,0.01817599,-0.02040027,-0.02776181,6.2800944e-05,0.04528056,0.0023884326,0.052083045,-0.023390174,0.010487214,0.038070068,-0.0484279,-0.023777213,0.021881528,0.04926745,0.0023949854,0.050853312,-0.04786607,-0.020715281,-0.043510087,0.018734276,0.033762597,0.0115517825,-0.05430167,0.04422611,-0.03786138,0.019344106,0.0047881007,0.03536932,0.026602149,0.0026016347,0.040480807,-0.03576047,-0.051678915,-0.02122502,-0.021004617,-0.027529765,-0.021784518,-0.030105524,-0.03691434,-0.036314607,0.01920753,0.042490497,0.03257168,0.0038027987,0.035693288,0.039060548,0.020677283,-0.028592572,0.02049619,-0.02354739,-0.01598432,0.04295668,0.050831445,0.012052938,0.015841767,0.026136093,-0.023532782,-0.008481555,0.006072793,0.0454534,0.050883934,0.00280568,0.02728632,-0.0012449324,-0.03780328,-0.02459162,-0.027974488,0.039505556,0.00089676306,0.04147978,0.03230016,0.047147416,0.052755393,0.004084848,-0.028127613,-0.0404426,0.013490289,0.018128097,-0.000678543,0.026982687,0.018412314,0.00014789402,0.04735907,-0.017727152,0.022472508,0.048252113,0.03479483,-0.027944135,-0.029749382,0.04308395,0.046749696,-0.017017081,-0.006015327,0.038944244,-0.035580747,-0.015245147,-0.007061906,0.027913563,0.015745968,-0.023388777,0.017827272,-0.038334243,-0.017311305,0.049903028,0.052538462,0.004148472,-0.046153843,0.054268897,-0.048866063,-0.02241484,0.017848842,0.0018070005,-0.03444383,-0.015658937,-0.017818175,0.017067,0.041963547,-0.049016356,0.03833832,0.023974285,-0.045378704,-0.026830958,0.038910486,-0.008708522,0.036977433,-0.053350165,0.013496585,0.054171763,0.038657986,-0.02422851,-0.0062322095,-0.035260737,-0.0042209513,-0.028682146,-0.012220226,-0.029771175,-0.023958579,-0.006294675,-0.048994344,0.04829441,0.03996125,0.019411162,0.0032892078,0.022915915,-0.012825571,-0.040293552,0.02290468,-0.0074144825,0.02517987,0.028335206,-0.04475774,-0.0063491985,-0.01888236,-0.04180737,0.051835008,-0.03491371,0.0051065274,0.00097374246,0.021131188,-0.013953291,-0.04175738,-0.04529698,-0.044616647,-0.003038112
inhibition,-0.038612314,0.044207036,0.004683271,-0.039050218,0.023114905,0.011288226,0.017606944,0.035642415,-0.016181353,-0.022796713,-0.033161707,0.030017331,-0.036384728,0.040395945,0.014284141,-0.02324738,0.054208227,-0.022066567,-0.02380788,0.02276972,0.03181138,0.0273574,-0.053065255,0.016024336,0.034290925,0.026102588,-0.0219201,-0.0024064593,-0.027961371,0.040209137,-0.05445831,-0.053683795,-0.012436587,0.038015224,-0.050241087,-0.008379757,-0.043970317,-0.0014101081,0.0077353083,-0.0020089597,-0.03448411,0.014775306,-0.020151116,0.030493662,0.03616195,0.004889149,-0.00015638396,-0.008561939,0.04372465,-0.043879673,-0.049303412,-0.009497456,-0.0017826781,0.019145697,-0.038467214,-0.0064346045,0.019884862,-0.046089556,0.04264708,0.054370813,0.052516818,0.05391299,0.0039661974,-0.0542493,-0.046120614,-0.005624328,-0.052840065,0.03705886,0.039790556,-0.04794875,-0.00087409467,-0.034847554,-0.008638009,-0.017281424,0.054540098,0.04687068,0.018244818,-0.02867656,0.022812545,-0.048100397,0.046430722,0.026509918,0.049520463,0.024680465,0.010689676,-0.014372174,-0.038603265,0.021397598,-0.046065085,-0.025703069,-0.047750503,0.053571977,0.052992202,0.00968007,-0.03526923,0.05010219,0.043207154,0.044882044,-0.04180055,0.019331709,0.027854763,0.0052191876,0.016058251,-0.002797369,0.0026937574,-0.04311594,-0.019815244,0.004304137,-0.04753836,-0.03712432,0.052523464,0.035912827,0.02759301,0.01577019,0.023073182,-0.051514316,-0.029751586,0.005866792,0.026755735,-0.050807483,-0.023494285,0.019195668,0.033589736,-0.026806764,-0.020734735,0.022689313,-0.0023265593,-0.05074093,-0.027189335,0.049872525,0.00086323917,-0.020528883,-0.00065334886,-0.051494107,-0.05222968,0.03576009,-0.048660792,-0.032029383,-0.04157901,-0.010434646,0.016014613,0.0522632,0.04318098,0.04760211,0.0008617677,-0.025046155,0.025086284,-0.026757408,0.04510829,0.00814148,0.032202825,-0.052181482,0.024406254,0.04549458,0.02207356,-0.0024216622,0.014212757,0.00031492114,-0.032585293,-0.050200347,-0.016275164,-0.030709812,0.0048483536,0.03339284,-0.031142835,-0.017339576,0.016760305,0.007813007,-0.04365648,-0.009392131,0.03367614,0.05460774,-0.05242801,0.0010766238,-0.0024143234,0.019810863,-0.04376241,-0.01702055,0.03834459,0.02526749,0.032766253,0.046432883,0.01959531,0.030018657,0.0031141788,0.015683703,0.018120632,0.04078436,-0.005906787,0.05025766,0.013666511,0.046571538,-0.0322025,0.015263468,0.021651119,0.045106612,0.02488494,-0.009129897,-0.021469403,-0.03350605,-0.027592152,-0.044687305,0.020982452,-0.0159375,-0.005392261,-0.044468746,-0.02525878,-0.025903158,0.023300275,-0.03756659,0.034671113,0.007730648,0.021771848,0.04028742,0.013119131,-0.036124557,-0.04318676,-0.043013822,0.04529482,-0.0531838,-0.03782384,0.00027967617,0.054053694,-0.00033139437,-0.037922297,0.021768771,-0.004117891,0.03914982,0.024776675,-0.03889607,-0.03197636,0.042729966,-0.017614618,0.046440564,-0.019056723,-0.04709962,0.015715256,-0.007002484,-0.049669426,0.051996656,-0.051138557,0.006068621,0.021259211,-0.00015528873,0.022302292,-0.008837782,0.032708876,0.042889193,-0.039453916,-0.0517639,-0.010666948,-0.0023845956,0.02793619,0.05399929,-0.015674137,-0.028535035
repression,0.007540129,0.024066083,-0.047047906,-0.030187875,0.033515066,-0.001006715,0.027282298,0.008312799,0.05284305,0.039020583,0.01611282,-0.040244292,0.05415991,-0.03697426,-0.026137732,-0.04112217,0.0063253343,-0.04102861,-0.037652425,-0.03691403,0.036465786,0.04632865,-0.04658567,-0.024977911,-0.0391618,-0.044822123,0.04438348,-0.0026641674,-0.013072234,-0.049099766,0.011702299,-0.053637445,0.033136457,-0.01814501,0.0017633028,0.018237688,-0.0034067184,-0.011165701,0.0048153326,-0.022899643,-0.024280507,0.030669369,0.037630297,0.037707634,0.003539838,0.040109828,0.04593326,0.049244836,0.023506999,-0.03052947,-0.009865306,-0.029401893,-0.017232426,0.051913723,-0.0011925921,0.005966615,0.04476217,-0.011108391,-0.008570712,-0.043795332,0.05022069,0.019131742,-0.0013807341,0.010284126,-0.017128509,0.035361156,-0.044717588,0.044519365,0.041272163,-0.0338165,0.04715161,0.033982582,0.02392286,0.01679454,0.030474588,-0.03534859,-0.051713362,-0.023305565,0.048702836,-0.0027112812,0.05245001,0.054428034,-0.03193256,-0.039201558,0.033651695,0.00671513,-0.00093593076,0.015660286,-0.0039615,0.012222856,-0.051372517,0.049993455,0.036013722,-0.040968627,-0.03555941,-0.0023763329,0.036330298,-0.007353306,0.02352681,-0.034688294,-0.031013563,0.049377635,-0.049665768,0.027205087,-0.0049013533,-0.0039596483,-0.0018193051,-0.05039196,-0.047215838,0.03893248,-0.05303803,0.040216208,0.009390473,0.028282695,-0.0050240383,-0.051452182,-0.02312792,-0.03286065,-0.026312526,0.010508902,0.03503876,-0.015900902,0.00034492835,0.028041027,-0.015747935,-0.015885815,0.041097537,0.006771773,0.010405794,-0.052075088,-0.051549755,-0.04482223,0.04854755,0.008852281,-0.0010936856,-0.03833235,0.045634508,0.046480857,0.03426875,-0.014607064,0.011807881,-0.0410047,-0.0499583,0.008258387,0.018673785,-0.021719959,-0.0089663975,0.012170054,-0.016285278,-0.035360835,0.04611417,0.004817862,0.049357146,-0.021992657,-0.03607417,0.013809912,0.041413188,0.020953812,-0.03715217,0.053664103,-0.0037891231,-0.04646066,0.004363913,0.0014632717,-0.0286648,0.01911842,-0.019535594,0.05015473,0.028227061,0.029287666,-0.04846871,0.013083756,0.0144866705,-0.020336956,-0.008992255,0.0080854595,-0.004124116,0.04597885,0.01676052,-0.048099853,-0.030952465,-0.03140057,0.0055752955,-0.01863728,-0.027687993,0.036156863,0.009565525,-0.011417404,0.014595285,-0.020007327,0.0051620156,-0.042506017,-0.00880824,0.013188623,0.032570563,-0.008031186,-0.054551866,0.011831537,-0.040170398,0.0091980025,0.0020486377,-0.045669418,0.043845348,0.0071915425,-0.0077985004,0.027319998,0.048543476,-0.016633581,0.05362986,0.04605259,0.03745822,-0.04961788,0.008507632,-0.03901868,0.0130479485,0.043669634,0.016054034,-0.0017439872,-0.015038084,0.009124525,-0.025310159,-0.018319003,0.008447975,-0.048833556,-0.010962941,-0.035079833,0.022083044,-0.011824857,-0.054459967,0.048485078,0.03288325,-0.0096632615,0.004147768,0.024404317,0.045911178,0.049073666,0.028205484,0.010495655,0.009836696,0.018236548,-0.03747926,-0.00641001,-0.009253036,-0.0012218729,-0.01874911,0.0032894462,-0.021745395,-0.020884685,-0.013741873,-0.05387,-0.030053303,0.015554957,0.021914184,-0.026427463,0.029429905,-0.038791966
